"CountryName","dom_move-CountryCode","dom_move-Date","Domestic Movement","dom_move-PolicyValue","dom_move-Flag","dom_move-Notes","dom_move-region","dom_move-value"
"Kenya","KEN",20200929,"C7: Restrictions on internal movement",2,"National","  ""Are there restrictions on intercity or interstate travel? Yes   Any movement by public transport vehicles into and out of these areas requires transport providers to first acquire mandatory certification from the Ministry of Health, in consultation with the Ministry of Transport.""  https://web.archive.org/web/20201008014524/https://ke.usembassy.gov/covid-19-information/","kenya","restrictions in place"
"Kyrgyzstan","KGZ",20200922,"C7: Restrictions on internal movement",2,"Regional","""Some inter-regional public transport services are suspended.""  http://web.archive.org/web/20201002064209/https://www.gov.uk/foreign-travel-advice/kyrgyzstan/coronavirus","kyrgyzstan","restrictions in place"
"Cambodia","KHM",20200915,"C7: Restrictions on internal movement",0,NA,"No stringent policy on internal movement.","cambodia","no measures"
"South Korea","KOR",20200926,"C7: Restrictions on internal movement",1,"National","The two weeks from September 28 to October 11, when the Chuseok holiday begins, are planned to be set as a special quarantine period for the whole country and strengthen quarantine management in consideration of the high risk aspect. In religious facilities, all religious activities, including worship, mass, and court, should be conducted non-face-to-face, and that all face-to-face meetings, events, and group meals should be refrained.   http://web.archive.org/web/20201003225816/http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=360146&contSeq=360146&board_id=&gubun=ALL   http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=359862&contSeq=359862&board_id=&gubun=ALL (link can’t be archived)    ","south korea","recommend not to travel between regions"
"Kuwait","KWT",20200619,"C7: Restrictions on internal movement",2,"Regional","n Thursday, June 18, that the total lockdown in Hawally, Nuqra, Maidan Hawally, and some blocks in Khaitan, will be lifted, although local lockdowns will continue in Farwaniya, Jleeb Al-Shuyoukh, and Mahboula. See: https://web.archive.org/web/20200702171426/https://www.garda.com/crisis24/news-alerts/352171/kuwait-authorities-to-further-ease-covid-19-restrictions-from-june-21-update-20","kuwait","restrictions in place"
"Laos","LAO",20200922,"C7: Restrictions on internal movement",0,NA,"There are no travel restrictions within Laos and taxis, public transport and domestic flights have resumed services.   http://web.archive.org/web/20201001184734/https://www.gov.uk/foreign-travel-advice/laos/coronavirus   ","laos","no measures"
"Lebanon","LBN",20201004,"C7: Restrictions on internal movement",2,"National","Restrictions on internal movement was strengthened: 'From October 4 through 12, the Ministry of Interior has restricted movement and activities in several villages in Lebanon.'    https://archive.vn/YlZ44","lebanon","restrictions in place"
"Liberia","LBR",20200831,"C7: Restrictions on internal movement",0,NA," No curfew in place and no restrictions on intercity or interstate travel. See: https://lr.usembassy.gov/covid-19-information/ (web archive unavailable, accessed 14th September 2020 and the page was last updated on August 24, 2020)","liberia","no measures"
"Libya","LBY",20201004,"C7: Restrictions on internal movement",2,"Regional","Domestic flights have reportedly resumed among cities in the western and eastern cities of the country.  http://web.archive.org/web/20201010160547/https://www.worldaware.com/warning-alert-authorities-libya-maintaining-varied-levels-covid-19-related-restrictions","libya","restrictions in place"
"Sri Lanka","LKA",20200831,"C7: Restrictions on internal movement",0,NA,"There is currently no policy on restrictions on internal movement. Safety measures are guided to passengers using public transport. ""Passengers are advised to queue with a 1m distance at the station. After getting down, hands should be washed for a minimum of 20 seconds"".     See Pulse article, archived: https://archive.fo/Fiv2b","sri lanka","no measures"
"Lesotho","LSO",20201002,"C7: Restrictions on internal movement",1,"National","""Travel by vehicle is permitted only when necessary to obtain goods and services. Restrictions to limit the number of passengers carried have now been lifted but face coverings should still be worn on public transport.""    http://web.archive.org/web/20201012124445/https://www.gov.uk/foreign-travel-advice/lesotho/coronavirus","lesotho","recommend not to travel between regions"
"Lithuania","LTU",20201001,"C7: Restrictions on internal movement",0,NA,"https://web.archive.org/web/20201011195858/https://lrv.lt/en/news/covid-19-related-restrictions-updated-on-8-october-2020.  No change to status since three-month lockdown finished in June.","lithuania","no measures"
"Luxembourg","LUX",20200913,"C7: Restrictions on internal movement",0,NA,"No policy change","luxembourg","no measures"
"Latvia","LVA",20200921,"C7: Restrictions on internal movement",0,NA,"No change.","latvia","no measures"
"Macao","MAC",20200929,"C7: Restrictions on internal movement",0,NA,"No policy change.","macao","no measures"
"Morocco","MAR",20200727,"C7: Restrictions on internal movement",2,"Regional","From midnight on 27 July 2020, Morocco will shut down its major cities (Casablanca, Tangier, Marrakech, Fez and Meknes), meaning that people will not be allowed to travel to and from them (with the exception of those with urgent medical needs, workers with travel permits and the transport of goods). The joint statement made by the Interior and Health ministries explained that these lockdowns have been enforced because Moroccans have not been following guidelines to help prevent the spread of Covid-19 including social distancing, wearing masks and using disinfectants.   https://web.archive.org/web/20200728232524/https://www.france24.com/en/20200727-morocco-shuts-down-major-cities-after-spike-in-covid-19-cases ","morocco","restrictions in place"
"Moldova","MDA",20200717,"C7: Restrictions on internal movement",0,NA,"No local travel restrictions in Moldova. https://web.archive.org/web/20200727230419/https://www.gov.uk/foreign-travel-advice/moldova/coronavirus","moldova","no measures"
"Madagascar","MDG",20201001,"C7: Restrictions on internal movement",2,"Regional","Domestic flights have resumed, with passengers required to provide evidence of a negative COVID-19 PCR test result from within 48 hours prior to their departure.    https://web.archive.org/web/20201012213846/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19    https://web.archive.org/web/20201012214310/https://www.garda.com/crisis24/news-alerts/386456/madagascar-covid-19-curfew-lifted-as-state-of-health-emergency-extended-until-october-18-update-18","madagascar","restrictions in place"
"Mexico","MEX",20200918,"C7: Restrictions on internal movement",2,"Regional","Interstate and intercity restrictions apply to some areas.    http://web.archive.org/web/20200927195013/https://mx.usembassy.gov/u-s-citizen-services/covid-19-information/    ","mexico","restrictions in place"
"Mali","MLI",20200915,"C7: Restrictions on internal movement",0,NA,"No restrictions on interstate and intercity travel  https://web.archive.org/web/20200924144234/https://ml.usembassy.gov/covid-19-information/","mali","no measures"
"Myanmar","MMR",20201005,"C7: Restrictions on internal movement",2,"Regional","On 5th October, the Ministry of Health and Sports issued an order for the Stay-at-Home programme which had expanded to cover people in all townships, except for Cocogyun Township.   http://web.archive.org/web/20201006153325/https://eurocham-myanmar.org/post/652/Announcement-on-Stay-at-Home-Programme-on-All-Township-Except-for-Cocogyun-Township   http://web.archive.org/web/20201006150824/https://eurocham-myanmar.org/uploads/39cff-stay-at-home-for-all-township-except-cocogyun-township-eng-ver.pdf ","myanmar","restrictions in place"
"Mongolia","MNG",20200918,"C7: Restrictions on internal movement",0,NA,"According to the WHO COVID-19 situation report for Mongolia #20: 18 September 2020, Mongolia has lifted all the internal travel restrictions. Source:    http://web.archive.org/web/20201001213134/https://www.who.int/mongolia/emergencies/coronavirus-disease-(covid-19)-in-mongolia/covid-19-situation-reports-in-the-mongolia","mongolia","no measures"
"Mozambique","MOZ",20200807,"C7: Restrictions on internal movement",2,"National","The Mozambican government has declared a national State of Emergency, which will remain in place until 30 September. These regulations have imposed restrictions on movement across international borders and within the country.https://web.archive.org/web/20200816123245/https://www.gov.uk/foreign-travel-advice/mozambique/coronavirus","mozambique","restrictions in place"
"Mauritania","MRT",20200925,"C7: Restrictions on internal movement",0,NA,"Travel advisories indicate that internal boundaries within Mauritania do not face travel restrictions.  https://web.archive.org/web/20201007023236/https://www.gov.uk/foreign-travel-advice/mauritania/coronavirus","mauritania","no measures"
"Mauritius","MUS",20200826,"C7: Restrictions on internal movement",0,NA,"There are no restrictions on intercity or interstate travel.    Source: http://web.archive.org/web/20200904193637/https://mu.usembassy.gov/covid-19-information/","mauritius","no measures"
"Malawi","MWI",20200918,"C7: Restrictions on internal movement",0,NA,"Travel in Malawi  Public transport continues to operate throughout Malawi with some restrictions and coronavirus precautionary measures in place. Face coverings have been advised in public, but are not mandatory.  Source: http://web.archive.org/web/20200926163915/https://www.gov.uk/foreign-travel-advice/malawi/coronavirus","malawi","no measures"
"Malaysia","MYS",20200929,"C7: Restrictions on internal movement",2,"Regional","Malaysia on Monday (Sep 28) said it will impose strict movement restrictions in four districts in Sabah after reporting more than 1,000 COVID-19 infections there in September. Defence Minister Ismail Sabri Yaakob said that as part of efforts to contain the outbreak, non-essential businesses in Lahad Datu, Tawau, Kunak and Semporna districts will be required to shut down from Tuesday Sept. 29th for 14 days.  During the Targeted Enhanced Movement Control Order (TEMCO), all residents are prohibited from leaving the affected areas, and non-residents and visitors are not allowed to enter the four districts.   http://web.archive.org/web/20201001202740/https://www.channelnewsasia.com/news/asia/sabah-malaysia-covid-19-restriction-temco-13156076   ","malaysia","restrictions in place"
"Namibia","NAM",20200904,"C7: Restrictions on internal movement",2,"Regional","'Travel into and out of the Windhoek, Okahandja, and Rehoboth Local Authority Areas is restricted to those with emergency permits only.'  https://web.archive.org/save/https://na.usembassy.gov/covid-19-information/","namibia","restrictions in place"
"Niger","NER",20201002,"C7: Restrictions on internal movement",1,"National","Recommendation by Niger government on heir Covid19 site. ""Stay at home, avoid unnecessary travel and meetings  social services and cancel non-essential travel. Especially avoid close contact with someone showing symptoms of the disease. Keep a distance of at least one to two meters from anyone who is at risk of projecting respiratory droplets.""  https://web.archive.org/web/20201011195903/https://coronavirus.ne/","niger","recommend not to travel between regions"
"Nigeria","NGA",20200925,"C7: Restrictions on internal movement",1,"National","No new update","nigeria","recommend not to travel between regions"
"Nicaragua","NIC",20200907,"C7: Restrictions on internal movement",0,NA,"No change in policy found","nicaragua","no measures"
"Netherlands","NLD",20200929,"C7: Restrictions on internal movement",1,"National","During a national press conference, Prime Minister Mark Rutte and Minister of Health Hugo de Jonge announced new national measures that come into effect on Tuesday 29 September at 18.00 and will be in force for at least the next 3 weeks.  The new measures include:  - Advice is to ""keep travel to a minimum.""    Hence, upgraded to 1G.   https://web.archive.org/web/20201008115110/https://www.government.nl/topics/coronavirus-covid-19/news/2020/09/28/additional-measures-to-combat-the-spread-of-coronavirus  ","netherlands","recommend not to travel between regions"
"Norway","NOR",20201003,"C7: Restrictions on internal movement",0,NA,"""You can travel freely in Norway if you can avoid spreading the infection. We all share the responsibility to follow the advice for infection control.    To travel in a way that will prevent you from spreading the infection means that you:    Do not travel if you are ill, nor to a holiday property.  Maintain good hand and cough hygiene.  Keep at least one metre distance to others not considered to be your closest contacts.""    http://web.archive.org/web/20201005121649/https://www.helsenorge.no/koronavirus/reise/","norway","no measures"
"Nepal","NPL",20200916,"C7: Restrictions on internal movement",2,"National","Some long-distance public transport are allowed to operate after September 16.    https://archive.vn/aRG9f","nepal","restrictions in place"
"New Zealand","NZL",20200929,"C7: Restrictions on internal movement",0,NA,"Travel regions that are at Alert Level 2 or lower (no region in the country is at level 3 or above).    Source: http://web.archive.org/web/20201007093514/https://covid19.govt.nz/alert-system/alert-level-2/","new zealand","no measures"
"Oman","OMN",20200927,"C7: Restrictions on internal movement",2,"Regional","'Following the approval from the Supreme Committee tasked with tackling developments resulting from Covid-19, the government decided to resume public transport services in a phased manner starting from September 27.' The first phase is the resumption of inter-city services.    https://archive.vn/bxZFG    https://archive.vn/24dMv","oman","restrictions in place"
"Pakistan","PAK",20200918,"C7: Restrictions on internal movement",0,NA,"Instructions for Passengers  • Cooperate with airline staff and follow instructions  • Wear your facemask at all times while in plane  • Do not change your seating plan and only occupy the seat allotted by the airline authority  • Inform the cabin crew if feeling unwell    http://web.archive.org/web/20200906174221/http://covid.gov.pk/new_guidelines/31August2020_20200830_Guidelines_for_Domestic_Air_Travel_2903.pdf","pakistan","no measures"
"Panama","PAN",20200925,"C7: Restrictions on internal movement",2,"Regional","It is expected that restrictions will be over on the 12th of October     /web/20201008234249/https://www.presidencia.gob.pa/Noticias/Gobierno-Nacional-promulga-decreto-que-autoriza-reactivacion-de-actividades-economicas-y-movilizacion-de-personas","panama","restrictions in place"
"Peru","PER",20200828,"C7: Restrictions on internal movement",2,"Regional","On the 28th August 2020 the Peruvian Government announced that national emergency would continue until 30th September 2020. This includes the regulations relating to restrictions on internal movements in particularly badly affected locations.     Link: https://web.archive.org/web/20200907171925/https://medicalxpress.com/news/2020-08-peru-coronavirus-state-emergency.html","peru","restrictions in place"
"Philippines","PHL",20201001,"C7: Restrictions on internal movement",2,"Regional","No change in policy found.","philippines","restrictions in place"
"Papua New Guinea","PNG",20200925,"C7: Restrictions on internal movement",0,NA,"Travel by air, foot, vehicle and vessel between Provinces, unless otherwise restricted by the Controller shall not be restricted.    https://web.archive.org/save/https://covid19.info.gov.pg/files/National%20Pandemic%20Measures/Pandemic%20Measures%2005102020/M%203%20Oct%202020.pdf","papua new guinea","no measures"
"Poland","POL",20200929,"C7: Restrictions on internal movement",0,NA,"For further coding: this is going to change from Saturday (10.10.2020) onwards:  https://www.reuters.com/article/idUSW8N2EZ01G","poland","no measures"
"Puerto Rico","PRI",20200821,"C7: Restrictions on internal movement",0,NA,"I couldn't find specific information on internal movement restrictions. However, it seems that travel to other cities/areas in the Island is allowed.","puerto rico","no measures"
"Portugal","PRT",20200918,"C7: Restrictions on internal movement",0,NA,"Movement Restrictions:    Is a curfew in place? No.  Are there restrictions on intercity or interstate travel? No.  Source: http://web.archive.org/web/20201001120548/https://pt.usembassy.gov/covid-19-information/","portugal","no measures"
"Paraguay","PRY",20200825,"C7: Restrictions on internal movement",2,"National","Curfew?is?from 20:00 to 05:00 every day of the week with the exception of activities specifically excluded in the decree (restaurants, emergency services, essential services, etc.). Source: http://web.archive.org/web/20200902145858/https://py.usembassy.gov/covid-19-information-2/  ","paraguay","restrictions in place"
"Palestine","PSE",20201007,"C7: Restrictions on internal movement",2,"Regional","In Gaza, as part of the lockdown imposed since late August, travel between governorates remains largely prohibited.     However, movement in the less affected areas within individual governorates, designated as ‘green’ and ‘yellow’, is allowed between 07:00 and 20:00.    http://web.archive.org/web/20201007214447/https://www.ochaopt.org/content/covid-19-emergency-situation-report-18","palestine","restrictions in place"
"Qatar","QAT",20200705,"C7: Restrictions on internal movement",1,"National","Qatar entered phase 2 of lifting restrictions on the 1st of July, no changes in policies of phase 2. Latest update on the 28th of June:    https://web.archive.org/web/20200711102953/https://www.gco.gov.qa/en/top-news/statement-by-the-supreme-committee-for-crisis-management-regarding-phase-2-of-the-plan-for-the-gradual-lifting-of-covid-19-restrictions/  ","qatar","recommend not to travel between regions"
"Romania","ROU",20200601,"C7: Restrictions on internal movement",0,NA,"Romanians will be able to travel between cities without restrictions.  https://web.archive.org/web/20200608102012/https://www.reuters.com/article/us-health-coronavirus-romania/romania-to-further-ease-lockdown-restrictions-from-june-1-idUSKBN23423F","romania","no measures"
"Russia","RUS",20201002,"C7: Restrictions on internal movement",0,NA,"There are no curfews in place and there are no restrictions on intercity or interstate travel. See: https://ru.usembassy.gov/covid-19-information/ [accessed 12th October 2020, web archive unavailable, webpage last updated 6th October 2020]","russia","no measures"
"Rwanda","RWA",20200925,"C7: Restrictions on internal movement",1,"National","Public transport between Kigali - the capital city - and other provinces, as well as to and from Rusizi - a river - shall resume.was resumed on 25 September.    https://archive.vn/EQxdV","rwanda","recommend not to travel between regions"
"Saudi Arabia","SAU",20200821,"C7: Restrictions on internal movement",0,NA,"No change.   https://web.archive.org/web/20200831223228/https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/","saudi arabia","no measures"
"Sudan","SDN",20200925,"C7: Restrictions on internal movement",0,NA,"Interstate and intercity public transportation is fully operational.  Link: https://web.archive.org/web/20201008003833/https://sd.usembassy.gov/covid-19-information/","sudan","no measures"
"Senegal","SEN",20200918,"C7: Restrictions on internal movement",0,NA,"""There is no restriction on travel between regions, and authorisation is not needed to travel between regions. Internal flights have also restarted""   http://web.archive.org/web/20200927111512/https://www.gov.uk/foreign-travel-advice/senegal/coronavirus","senegal","no measures"
"Singapore","SGP",20200804,"C7: Restrictions on internal movement",0,NA,"No new update.","singapore","no measures"
"Solomon Islands","SLB",20200812,"C7: Restrictions on internal movement",1,"Regional","No new update.","solomon islands","recommend not to travel between regions"
"Sierra Leone","SLE",20200901,"C7: Restrictions on internal movement",0,NA,"No change in policy was found.","sierra leone","no measures"
"El Salvador","SLV",20200930,"C7: Restrictions on internal movement",1,"Regional","Possible movement restrictions of indeterminate duration in and out of municipalities with high positivity rates might be in place. Outside these municipalities there are no restrictions. ""The Salvadoran Ministry of Health can place municipalities under special quarantine with little or no prior notice when a high number of COVID-19 cases is detected.""    Source: http://web.archive.org/web/20201010100434/https://sv.usembassy.gov/covid-19-information/    ","el salvador","recommend not to travel between regions"
"San Marino","SMR",20200915,"C7: Restrictions on internal movement",0,NA,"No change","san marino","no measures"
"Somalia","SOM",20200925,"C7: Restrictions on internal movement",2,"National","https://web.archive.org/web/*/https://www.gov.uk/foreign-travel-advice/somalia/entry-requirements  Curfew in place ","somalia","restrictions in place"
"Serbia","SRB",20201001,"C7: Restrictions on internal movement",1,"National","No change in policy: https://web.archive.org/save/https://www.srbija.gov.rs/news/section.php?id=151926&start=0","serbia","recommend not to travel between regions"
"South Sudan","SSD",20200922,"C7: Restrictions on internal movement",0,NA,"Are there restrictions on intercity or interstate travel? No.    https://web.archive.org/web/20201007083020/https://sd.usembassy.gov/covid-19-information/","south sudan","no measures"
"Suriname","SUR",20200915,"C7: Restrictions on internal movement",0,NA,"There are no restrictions on intercity or interstate travel.    Source: http://web.archive.org/web/20200923123510/https://sr.usembassy.gov/covid-19-information","suriname","no measures"
"Slovakia","SVK",20200925,"C7: Restrictions on internal movement",1,"Regional","No policy change","slovakia","recommend not to travel between regions"
"Slovenia","SVN",20200930,"C7: Restrictions on internal movement",0,NA,"In the coming days, the Government will present the action plan approved today to deal with the second wave of the COVID-19 epidemic. Announcement of measures still outstanding. https://web.archive.org/web/20201001183331/https://www.gov.si/en/news/in-the-coming-days-the-government-will-present-the-action-plan-approved-today-to-deal-with-the-second-wave-of-the-covid-19-epidemic/","slovenia","no measures"
"Sweden","SWE",20200922,"C7: Restrictions on internal movement",0,NA,"http://web.archive.org/web/*/https://www.krisinformation.se/en/hazards-and-risks/disasters-and-incidents/2020/official-information-on-the-new-coronavirus/domestic-travel-and-public-transport","sweden","no measures"
"Eswatini","SWZ",20201001,"C7: Restrictions on internal movement",1,"National","There are roadblocks between cities where temperatures are checked. If a vehicle is carrying more than 50 percent of its allowed capacity passengers may be asked to disembark. Other than that, previous recommendation still in place. https://web.archive.org/web/20201008123737/https://sz.usembassy.gov/covid-19-information/","eswatini","recommend not to travel between regions"
"Seychelles","SYC",20200814,"C7: Restrictions on internal movement",0,NA,"Still current, http://web.archive.org/web/20200823153159/https://www.gov.uk/foreign-travel-advice/seychelles/coronavirus","seychelles","no measures"
"Syria","SYR",20201003,"C7: Restrictions on internal movement",0,NA,"The travel ban between and within governorates remains lifted.    Source: http://web.archive.org/web/20201007145248/https://reliefweb.int/sites/reliefweb.int/files/resources/finala_covid_response_update_no._11_.pdf","syria","no measures"
"Turks and Caicos Islands","TCA",20200828,"C7: Restrictions on internal movement",2,"National","From 28 August 2020 to 5:00 a.m. on 15 September 2020, no person shall offer for hire or seek to travel on any interisland private or commercial air or sea transport that is non- essential, provided that an airline or a boat shall reduce the number of persons traveling on interisland transportation to permit physical distancing.    Legal Notice 91  https://web.archive.org/web/20200901154507/https://www.gov.tc/moh/coronavirus/regulations","turks and caicos islands","restrictions in place"
"Chad","TCD",20200918,"C7: Restrictions on internal movement",2,"Regional","According to the UK embassy website, there are quarantine measures in the capital N’Djamena and provincial capitals, banning entry and exit.  http://web.archive.org/web/20200928015636/https://www.gov.uk/foreign-travel-advice/chad/coronavirus   ","chad","restrictions in place"
"Togo","TGO",20200829,"C7: Restrictions on internal movement",1,"Regional","""Is public transportation operating? [Yes]""     ""Is a curfew in place? [Yes]    On July 9, the Government lifted the curfew that was put in place on April 1.    Source: Covid-19.gouv  Are there restrictions on intercity or interstate travel? [Yes]    On August 24, the Government of Togo imposed a curfew in Sokodé (211 miles north of Lomé) and in the neighboring cities of Tchamba (19 miles east of Sokodé) and Adjengré (27 miles south). These measures are intended to limit a possible spread of COVID-19 cases in those locations following an increase in cases there. All land border crossings with Ghana, Burkina Faso and Benin remain closed. If you reside outside of Togo in West Africa,  please contact the U.S. Embassy in your country for assistance. For a detailed list of the flights available in country, visit our COVID-19 page.""    Source: http://web.archive.org/web/20200913222242/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/","togo","recommend not to travel between regions"
"Thailand","THA",20200922,"C7: Restrictions on internal movement",1,"National","There is no curfew in place or restrictions on intercity or interstate travel. See: https://th.usembassy.gov/u-s-citizen-services/covid-19-information/ [accessed 5 October 2020, webpage last updated on 1 October 2020, web archive unavailable]","thailand","recommend not to travel between regions"
"Tajikistan","TJK",20200908,"C7: Restrictions on internal movement",0,NA,"There are no restrictions on intercity or interstate travel. See: https://tj.usembassy.gov/covid-19-information/ (web archive no available, page updated last on September 3, accessed 17th September 2020)","tajikistan","no measures"
"Turkmenistan","TKM",20201001,"C7: Restrictions on internal movement",2,"Regional","""There are restrictions on road travel within Turkmenistan. All road borders are closed. The International Seaport of Turkmenistan at Turkmenbashi is closed to passenger traffic.""  ""Traffic police check points have been established around major population centres, including Ashgabat, and road users may be subject to temperature screening.""  Link: http://archive.today/2020.10.01-165250/https://www.gov.uk/foreign-travel-advice/turkmenistan/coronavirus","turkmenistan","restrictions in place"
"Timor-Leste","TLS",20200820,"C7: Restrictions on internal movement",0,NA,"No Restrictions    https://web.archive.org/web/20200831010604/https://tl.usembassy.gov/covid-19-information/","timor-leste","no measures"
"Trinidad and Tobago","TTO",20200912,"C7: Restrictions on internal movement",2,"Regional","As announced at the Prime Minister's Media Conference on 12th September 2020, air and sea bridge Transportation to Tobago remain limited to essential activities until October 11th 2020  http://web.archive.org/web/20200924204456/https://www.opm.gov.tt/prime-ministers-media-conference-saturday-12th-september-2020/ ","trinidad and tobago","restrictions in place"
"Tunisia","TUN",20200926,"C7: Restrictions on internal movement",0,NA,"No restrictions on intercity or interstate travel.    https://web.archive.org/web/20201007114252/https://tn.usembassy.gov/covid-19-information/","tunisia","no measures"
"Turkey","TUR",20200923,"C7: Restrictions on internal movement",2,"National","""Turkish citizens and residents must request a HES (Hayat Eve Sigar) Code for domestic and international flights, train and ferry travel. As of 30 September the HES code will also be required when checking into accommodation including hotels, motels, boarding houses, pensions, camps etc. Some provinces also require submission of a HES code upon entry to public buildings and banks. This does not apply to foreign tourists. This can be done through the e-Devlet system, the ‘Hayat Eve Sigar’ smartphone application and by SMS.""    http://web.archive.org/web/20201005125912/https://www.gov.uk/foreign-travel-advice/turkey/coronavirus    ","turkey","restrictions in place"
"Tanzania","TZA",20200917,"C7: Restrictions on internal movement",0,NA,"According to the IMF website, effective June 1, 2020, the authorities allowed the opening of upper-secondary and tertiary schools and the resumption of sport activities and events. On June 29, 2020 all other educational institutions reopened. As a result, all the restrictions due to Covid-19 have been lifted by July 2020.  http://web.archive.org/web/20200928023258/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19   ","tanzania","no measures"
"Uganda","UGA",20200926,"C7: Restrictions on internal movement",2,"National","No new policy in place","uganda","restrictions in place"
"Ukraine","UKR",20200907,"C7: Restrictions on internal movement",2,"Regional","On Sept. 7, the Health Ministry expanded the list of cities and areas with the red, or highest, level of COVID-19 threat. Among them are such cities as Ivano-Frankivsk, Kolomyya, and Kalush in Ivano-Frankivsk Oblast; Ternopil, Berezhany, and Chortkiv in Ternopil Oblast; and Chernivtsi.  https://web.archive.org/web/20200907104152/https://www.kyivpost.com/ukraine-politics/covid-19-in-ukraine-2174-new-infections-31-dead-72585-active-cases.html","ukraine","restrictions in place"
"Uruguay","URY",20200724,"C7: Restrictions on internal movement",0,NA,"Still current ","uruguay","no measures"
"United States of America","USA",20200929,"C7: Restrictions on internal movement",2,"Regional","States like New York continue to require visitors from other states with high caseloads to quarantine upon arrival. At latest count, 35 other states are on New York's quarantine list.  https://web.archive.org/web/20201011231808/https://coronavirus.health.ny.gov/covid-19-travel-advisory","united states of america","restrictions in place"
"Uzbekistan","UZB",20200924,"C7: Restrictions on internal movement",1,"National","Note: There is still no curfew in place and very few restrictions on intercity or interstate travel. See: https://uz.usembassy.gov/covid-19-information/ [accessed 5 October 2020, web archive unavailable]","uzbekistan","recommend not to travel between regions"
"Venezuela","VEN",20200823,"C7: Restrictions on internal movement",2,"National","""Domestic and international regular commercial flights are meant to progressively re-start from 13 September 2020 onwards."".     Link: https://web.archive.org/web/20200903132143/https://www.gov.uk/foreign-travel-advice/venezuela/coronavirus","venezuela","restrictions in place"
"British Virgin Islands","VGB",20200821,"C7: Restrictions on internal movement",2,"National","Honourable Malone stated that the movement of vessels within Territorial waters is restricted except for approved fisherfolk and intra-island ferries with the exception of those traveling to and from Anegada. In addition, aircrafts will also be restricted unless approved to enter or leave Anegada from August 21 to August 28 and an island-wide testing will be held during that period.     https://web.archive.org/web/20200901150525/https://bvi.gov.vg/media-centre/new-curfew-imposed-bvi-after-reports-new-covid-19-cases","british virgin islands","restrictions in place"
"Vietnam","VNM",20200926,"C7: Restrictions on internal movement",1,"Regional","Public transport, interstate transport, and domestic flights are also limited.   Public transport services will be suspended while transport from region to region will be minimized except for essential services","vietnam","recommend not to travel between regions"
"Vanuatu","VUT",20200923,"C7: Restrictions on internal movement",0,NA,"No change.","vanuatu","no measures"
"Yemen","YEM",20200929,"C7: Restrictions on internal movement",2,"Regional","It seems like there are also measures in place with this indicator: authorities across Yemen have introduced a range of measures. These include curfews, movement restrictions. However, some governorates started lifting the curfew but precautionary measures remain in place. See: https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19; also, https://www.gov.uk/foreign-travel-advice/yemen/coronavirus [accessed 12 October 2020, web archive unavailable]","yemen","restrictions in place"
"South Africa","ZAF",20200928,"C7: Restrictions on internal movement",0,NA,"No policy change","south africa","no measures"
"Zambia","ZMB",20200926,"C7: Restrictions on internal movement",0,NA,"Movement Restrictions:    Is a curfew in place? No  Are there restrictions on intercity or interstate travel? No  Source: http://web.archive.org/web/20201004153230/https://zm.usembassy.gov/covid-19-information-2/","zambia","no measures"
"Zimbabwe","ZWE",20200923,"C7: Restrictions on internal movement",2,"National","Whilst the border remains closed (except for returning Zimbabwean nationals and permit holders), Zimbabwe’s state-owned Air Zimbabwe resumed its domestic commercial flights on 23 September.    https://archive.vn/HO4yH","zimbabwe","restrictions in place"
"Taiwan","TWN",20200326,"C7: Restrictions on internal movement",0,NA,"No formal measures or restrictions placed, but ahead of Tom Sweeping festival Taiwan is imposing safety measures such as temperature measurement and icnreased disinfection on internal transportation. https://web.archive.org/web/20200327190831/https://focustaiwan.tw/society/202003270007","taiwan","no measures"
"Kosovo","RKS",20200908,"C7: Restrictions on internal movement",0,NA,"No policy found. ","kosovo","no measures"
"Anguilla","AIA",20200901,"C7: Restrictions on internal movement",0,NA,"No evidence of a change in policy on government websites (no new cases have been identified).","anguilla","no measures"
"Falkland Islands","FLK",20200901,"C7: Restrictions on internal movement",0,NA,"No changes in measures published on government COVID-19 website.    https://web.archive.org/web/20200927181612/https://fig.gov.fk/covid-19/","falkland islands","no measures"
"Montserrat","MSR",20200701,"C7: Restrictions on internal movement",0,NA,"All measures lifted.     https://web.archive.org/save/https://www.gov.ms/2020/06/30/curfew-lifted-as-government-continues-to-ease-covid-19-restrictions/","montserrat","no measures"
