"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Ghana","GHA",20200901,"C8: International travel controls",1,NA,"'Ghana is reopening its main airport to international flight passengers from Sept. 1 ... Any passenger arriving in Ghana will have to present a negative Covid-19 result, taken no more than 72 hours before departure from the country of origin, President Nana Akufo-Addo said in a broadcast Sunday. Upon arrival, passengers will again be tested at the airport, with results to be provided within 30 minutes. International travel by land and sea are still prohibited.'  https://archive.vn/mFF9B    The President's speech on 30 August: https://archive.vn/sJY1N    Meanwhile, 'borders, by land and sea, will remain closed to human traffic until further notice'.  https://archive.vn/JrOSE","ghana","screening arrivals"
"Gibraltar","GIB",20200814,"C8: International travel controls",1,NA,"Introduced a legal duty for travellers to report to the authorities if they have been in a “relevant area” in the 14 days before their arrival in Gibraltar.  Failure to do so constitutes an offence punishable with a fine of up to £1000.    The definition of “relevant area” is based on measures adopted by the European Commission recommending a temporary restriction on non-essential travel from third countries into the EU+ area from third countries which includes a list of excluded countries and is updated every 2 weeks.      https://web.archive.org/web/20200901134621/https://www.gibraltar.gov.gi/press-releases/travel-measures-5382020-6114","gibraltar","screening arrivals"
"Guinea","GIN",20200915,"C8: International travel controls",3,NA,"The state of emergency was extended again on 15 September for a period of one month.    https://archive.vn/lYgO1","guinea","ban arrivals from some regions"
"Gambia","GMB",20200929,"C8: International travel controls",4,NA,"Entry to The Gambia  The Gambia’s airspace is closed, except to medical cargo flights and essential supplies. The land border with Senegal is also closed, except for security personnel and the passage of essential supplies.    To enter The Gambia, you will need to show a negative COVID-19 test taken no more than 72 hours before you travel to Ministry of Health officials upon arrival.    Quarantine requirements  Failure to present a negative COVID-19 test taken no more than 72 hours before you travel to Ministry of Health officials will result in you being tested and quarantined for 14 -days at your own cost.    Screening on arrival  Additional surveillance and detection mechanisms have been put in place at Banjul International Airport and various points of entry along The Gambia’s border.  Source: http://web.archive.org/web/20201007110926/https://www.gov.uk/foreign-travel-advice/the-gambia/entry-requirements","gambia","ban on all regions/total border closure"
"Greece","GRC",20200929,"C8: International travel controls",3,NA,"C8=3  ""Are U.S. citizens permitted to enter? No  Per the Greek Embassy in Washington, D.C., U.S. citizens residing in the United States are banned from entering Greece for non-essential travel, which includes tourism, unless you have an EU passport or meet one of the very narrow exceptions detailed in their posted information on entrance into the European Union/Schengen Area.  There is no projected date when entry will be permitted.""  http://web.archive.org/web/20201011055633/https://gr.usembassy.gov/covid-19-information/    British nationals are not affected by the European Union’s measures to close EU borders to non-EU country nationals. If you’re a British national, you can still enter Greece, but you must comply with the Greek authorities’ requirements, including on testing and self-isolation.    http://web.archive.org/web/20201011055636/https://www.gov.uk/foreign-travel-advice/greece/entry-requirements","greece","ban arrivals from some regions"
"Greenland","GRL",20200929,"C8: International travel controls",2,NA,"Executive Order nr 37 from 29 September regarding travelling to and in Greenland is valid from 30 September 2020 through 31 January 2021.    Entrance requirements:  - Upon check-in one must show a maximum 5 day old negative Corona test.  - They must also show a confirmation of the completed Sumut form, a personal locator form, which advises where you will be visiting and whom you will come in contact with. This form can be downloaded at www.sumut2020.    Due to the high Reproduction factor in Denmark and other countries, the earlier quarantine rules are now back in effect. This means that all travellers upon arrival in Greenland must:    - go into 14 days quarantine if you are not re-tested in Greenland.  - go into quarantine until receipt of a negative re-test result, which can be first conducted on day 5 after arrival.    https://web.archive.org/save/https://visitgreenland.com/articles/corona-virus-status/","greenland","quarantine arrivals from some/ all regions"
"Guatemala","GTM",20200918,"C8: International travel controls",1,NA,"After six months of closure, Guatemala's air, land, and sea borders reopened on Friday, 18 September. All travelers must present a negative PCR test taken within the 72 hours prior to arrival or undertake a 14-day quarantine.    http://web.archive.org/web/20200921211812/https://republica.gt/2020/09/18/cuales-son-los-requisitos-para-ingresar-en-guatemala-por-la-pandemia-del-covid-19/","guatemala","screening arrivals"
"Guam","GUM",20200925,"C8: International travel controls",2,NA,"The Governor of Guam, Lou Leon Guerrero, announced that restrictions, such as mandatory quarantine for all incoming travelers, remain in place. In addition, ""starting at 12 pm Saturday, September 26 all incoming travelers will still have to quarantine in the GovGuam hotel facility. However, a passenger will be allowed to take a COVID test on Day 6 of their quarantine. When/if that comes back negative, they can leave the facility and finish their quarantining period (14 days total) at home.""    Source: vhttp://web.archive.org/web/20200930111803/https://www.rnz.co.nz/international/pacific-news/426845/guam-will-relax-covid-restrictions-slightly  http://web.archive.org/web/20200930113139/https://www.pncguam.com/pcor-1-continues-on-guam-however-business-reopening-restrictions-to-be-lifted-in-phased-approach/","guam","quarantine arrivals from some/ all regions"
"Guyana","GUY",20201001,"C8: International travel controls",4,NA,"On the 30th of September the Government of Guyana released the Covid Emergency Measures No.10 to  be effective from 1st October to 31st October, 2020. This shall last until the 11st of October  http://web.archive.org/web/20201001040713/https://officialgazette.gov.gy/images/gazette2020/sept/Extra_30SEPTEMBER2020COViD19_10.pdf ","guyana","ban on all regions/total border closure"
"Hong Kong","HKG",20200806,"C8: International travel controls",4,NA,"""Travellers arriving in Hong Kong on flights from overseas countries/territories, who are not Hong Kong residents, will be denied entry to Hong Kong. Non-Hong Kong residents travelling to Hong Kong from mainland China, Macao or Taiwan will also be denied entry if they have been to any overseas country/territory in the past 14 days. Spouses and minor children of Hong Kong residents are exempt from the above restrictions.""    http://web.archive.org/web/20200824064537/https://www.gov.uk/foreign-travel-advice/hong-kong/entry-requirements","hong kong","ban on all regions/total border closure"
"Honduras","HND",20200920,"C8: International travel controls",1,NA,"There is no new update","honduras","screening arrivals"
"Croatia","HRV",20200907,"C8: International travel controls",1,NA,"A negative COVID-19 test (PCR and/or serology) is required no older than 48 hours. Those who do not provide a negative PCR test upon arrival?will be ordered to quarantine/self-isolate for at least 7 days prior to taking a local PCR test. Travelers who fail to present a PCR test upon arrival and refuse to take a test locally will be ordered to self-isolate or quarantine for 14 days.    https://web.archive.org/web/20200917135907/https://hr.usembassy.gov/covid-19-information-2/","croatia","screening arrivals"
"Haiti","HTI",20201002,"C8: International travel controls",1,NA,"“Entry and Exit Requirements:    The international airport in Port-au-Prince is open to regular two-way commercial passenger flights as of June 30. The international airport in Cap Haitian is open, although the resumption of regular traffic will be delayed pending a review of the airport’s COVID-19 mitigation measures. Commercial airlines resumed regular flight services to and from Haiti beginning on July 1.  The land border with the Dominican Republic is open to pedestrian and vehicular traffic as of July 1.  Travelers arriving by air in Haiti will have their temperature screened upon arrival.  The Government of Haiti mandates that every person flying into Haiti self-declare their COVID-19 status. Beginning July 1, airlines began to distribute a health declaration form to passengers on all incoming flights. Passengers are required to complete this form, including accurate contact and location information in Haiti, and present it to immigration authorities upon arrival.”  Source: http://web.archive.org/web/20201012171243/https://ht.usembassy.gov/covid-19-information/","haiti","screening arrivals"
"Hungary","HUN",20201001,"C8: International travel controls",4,NA,"""From 1 September, Hungary has closed its border to most foreign nationals due to the coronavirus pandemic. There are some limited circumstances in which foreign nationals, including UK nationals, may be allowed entry.""    http://web.archive.org/web/20201011070731/https://www.gov.uk/foreign-travel-advice/hungary/entry-requirements","hungary","ban on all regions/total border closure"
"Indonesia","IDN",20200904,"C8: International travel controls",3,NA,"Regarding the third stage of New Life Order protocol, Bali still has not been able to open up to foreign tourists as previously planned on September 11. Following the central government / RI, Indonesia will still extend the travel ban until at least the end of 2020.    https://web.archive.org/web/20200917102326/https://www.indonesia.travel/gb/en/news/preparation-to-open-bali-for-visitors-by-implementing-new-era-life-order-protocol","indonesia","ban arrivals from some regions"
"India","IND",20200907,"C8: International travel controls",4,NA,"The Directorate General of Civil Aviation (DGCA), Government of India has extended the ban on scheduled international commercial flights by a month to September 30 from the current date of August 31.    https://web.archive.org/web/20200918062024/https://www.skyscanner.co.in/news/corona-virus-information","india","ban on all regions/total border closure"
"Ireland","IRL",20200921,"C8: International travel controls",2,NA,"You are requested to restrict your movements for 14 days if you arrive into Ireland from another location that is not on the COVID-19 Green List.   The request to restrict movements does not apply to individuals arriving into Ireland from locations on the constantly reviewed green list: Cyprus, Finland, Latvia, Liechtenstein.  http://web.archive.org/web/20201001173103/https://www.gov.ie/en/publication/8868e-view-the-covid-19-travel-advice-list/   ","ireland","quarantine arrivals from some/ all regions"
"Iran","IRN",20200804,"C8: International travel controls",3,NA,"No new updates/policy  available . So previous policy is assumed to be continued","iran","ban arrivals from some regions"
"Iraq","IRQ",20200907,"C8: International travel controls",1,NA,"From 7th September 2020, crossing borders have been opened exclusively in order to permit commercial movement, subject to health guidelines.  https://web.archive.org/web/20200910164619/http://www.xinhuanet.com/english/2020-09/09/c_139353387.htm","iraq","screening arrivals"
"Iceland","ISL",20200914,"C8: International travel controls",2,NA,"""All passengers arriving in Iceland on or after 19 August 2020 can choose to either self-isolate for 14 days upon arrival or take two COVID-19 tests, one on arrival and another 5-6 days later. The test fee is ISK 11,000, or ISK 9,000 if booked in advance, and the second test is free. Children born in 2005 or later will be exempt from both testing and self-isolation""    http://web.archive.org/web/20200923145905/https://www.gov.uk/foreign-travel-advice/iceland/entry-requirements","iceland","quarantine arrivals from some/ all regions"
"Israel","ISR",20201002,"C8: International travel controls",2,NA,"""Please note that all arriving passengers, including U.S. citizens, may be subject to health screening and/or a mandatory 14-day quarantine in a Government of Israel-established quarantine center. Those who demonstrate the ability to maintain proper home isolation (such as those with a housing of their own or a completely separate housing unit with no other occupants) may be allowed to undergo their 14-day required isolation at home or another suitable location available to them. Individuals who are unable to home-isolate according to regulations will be directed to hotel isolation at the expense of the State of Israel. Arriving passengers will not be allowed to return to home isolation via public transportation with the exception of taxis (in accordance with regulations on masks/open windows). For more information, contact the?Israeli Ministry of Health.  Please refer to the?Israeli Ministry of Health’s instructions?for home quarantine and health precaution instructions, or call *5400 (in Israel only).""    http://web.archive.org/web/20201011142920/https://il.usembassy.gov/covid-19-information/","israel","quarantine arrivals from some/ all regions"
"Italy","ITA",20200907,"C8: International travel controls",3,NA,"From 7th September 2020, The travel rules are relaxed for unmarried couples, as part of the latest Italian emergency decree signed by Prime Minister Giuseppe Conte. It is now possible for people in Italy to be reunited with their partners living outside of Europe. Those travelling to Italy for this reason must undergo a mandatory 14-day quarantine period upon arrival, and will need to complete a self-certification form (which has not yet been released).    https://web.archive.org/web/20200911041028/https://www.thelocal.it/20200907/travel-italy-approves-travel-ban-exemption-for-separated-international-couples","italy","ban arrivals from some regions"
"Jamaica","JAM",20200807,"C8: International travel controls",2,NA,"2. Jamaica’s most recent disaster risk management order, published on August 5th, stated: “All persons arriving in Jamaica are required to undergo a health screening and risk assessment.”  “ A person seeking to enter Jamaica at any time during the period from August 7, 2020, to September 30, 2020, who is ordinarily resident in Jamaica shall, on being permitted to enter Jamaica, be required to remain in quarantine, in isolation from other persons, in accordance with— (a) a home quarantine order; or (b) a Government facility quarantine order, issued to the person by a Medical Officer (Health)”   In the case of a “non-resident visiting Jamaica for business (duration of stay-less than fourteen days)” “the Medical Officer (Health), Medical Officer or public health officer has determined that you require testing for COVID19 and you are to be quarantined until released by the Parish Health Department. If you test negative and will be in country for less than fourteen days, the Parish Health Officer will advise you of your result and your release from quarantine.”  Also, any “non-national visiting Jamaica for tourism and staying in the resilient corridor” is “required to remain in the hotel property stated below within the COVID19 Tourism Resilient Corridor for the duration of your stay. You are required to report symptoms 842 PROCLAMATIONS, RULES AND REGULATIONS [AUGUST 5, 2020 to the health desk in your hotel or to the health department and based on assessment, you may be required to do a COVID-19 PCR test”.  Source: https://web.archive.org/web/20200906095950/https://jis.gov.jm/media/2020/08/Disaster-Risk-ManagementEnforcement-Measures-No.-11-Amendment-Order.pdf  Also, “from 20 August, visitors from high risk places the USA, Brazil, Mexico and the Dominican Republic will be required to upload a valid Polymerase Chain Reaction (PCR) test result, no more than seven days old. Approval for travel will be subject to the upload of the test result.” Source: https://web.archive.org/web/20200906175955/https://www.gov.uk/foreign-travel-advice/jamaica/entry-requirements","jamaica","quarantine arrivals from some/ all regions"
"Jordan","JOR",20200925,"C8: International travel controls",2,NA,"""Regularly scheduled flights from Amman's Queen Alia International Airport (AMM) resumed on September 8. Rules for incoming passengers depend on the epidemiological situation in their countries of origin, with a color-coded classification list regularly updated by the Transport Ministry. The latest list can be found here. A minimum of one week of self-isolation to a maximum of two weeks of quarantine may be required for arriving passengers. All travelers will be required to provide a negative COVID-19 test administered in the previous 72-hours prior to travel and will also be required to be tested on arrival.""    https://web.archive.org/web/20201004210634/https://www.garda.com/crisis24/news-alerts/380606/jordan-authorities-tighten-covid-19-restrictions-nationwide-september-17-update-35    https://web.archive.org/web/20201004211102/https://www.visitjordan.gov.jo/Country-Categories.html","jordan","quarantine arrivals from some/ all regions"
"Japan","JPN",20200924,"C8: International travel controls",1,NA,"A PCR test will be conducted at the airport upon arrival.   http://web.archive.org/web/20201004001615/https://jp.usembassy.gov/covid-19-information/   Japan partially resumed accepting people from the rest of the world, effective Thursday, allowing entry by foreign nationals planning to stay in Japan for at least three months.  http://web.archive.org/web/20201004001958/https://www.japantimes.co.jp/news/2020/10/03/national/japan-double-coronavirus-checks-airports-20000/   ","japan","screening arrivals"
"Kazakhstan","KAZ",20201006,"C8: International travel controls",3,NA,"On October 6, a new decree signed by Chief Sanitary Doctor of Kazakhstan Yerlan Kiyasov came into force. According to the degree, all passengers from abroad have to undergo thermometry, fill out a questionnaire, and provide a negative COVID-19 test certificate taken no longer than 72 hours before arrival. Foreign passengers with no COVID-19 certificate are not allowed to enter the country.   Link: https://archive.vn/kcE7D  ","kazakhstan","ban arrivals from some regions"
"Kenya","KEN",20200929,"C8: International travel controls",2,NA,"  ""Domestic air travel resumed on July 15th under Ministry of Health and Transport guidelines. International flights resumed on August 1st.""    ""The test must be conducted and result must be received within 96 hours of arrival. U.S. citizens who do not have such a test may be refused boarding or denied entry to Kenya.""  https://web.archive.org/web/20201008014524/https://ke.usembassy.gov/covid-19-information/","kenya","quarantine arrivals from some/ all regions"
"Kyrgyzstan","KGZ",20200922,"C8: International travel controls",3,NA,"""A negative PCR test from no more than 72 hours before your arrival, is now required for entry into Kyrgyzstan.""  http://web.archive.org/web/20201002064209/https://www.gov.uk/foreign-travel-advice/kyrgyzstan/coronavirus    However, citizens of other countries remain banned from entering the country:  ""Please note that the entry ban on U.S. citizen travelers remains in place. Despite some exceptions to the ban announced by the Kyrgyz government for the below categories, even travelers who meet one of the exceptions have been denied entry and deported. Meeting one of the exceptions is not a guarantee that you will be permitted entry. U.S. citizen travelers should not plan to travel to the Kyrgyz Republic at this time as you are likely to be denied entry.""  http://web.archive.org/web/20201002065324/https://kg.usembassy.gov/covid-19-information/  ","kyrgyzstan","ban arrivals from some regions"
"Cambodia","KHM",20200925,"C8: International travel controls",2,NA,"Undergo a COVID-19 test upon arrival and wait in official facilities/designated hotels to receive laboratory results.? In the event one or more travelers on an arriving vessel/flight test positive, all passengers must undergo a 14-day quarantine at a location designated by Cambodian authorities.  http://web.archive.org/web/20201004005354/https://kh.usembassy.gov/covid-19-information/  ","cambodia","quarantine arrivals from some/ all regions"
"South Korea","KOR",20200926,"C8: International travel controls",2,NA,"There is a mandatory 14-day quarantine for all inbound travelers.   http://web.archive.org/web/20201003231019/https://kr.usembassy.gov/022420-covid-19-information/     ","south korea","quarantine arrivals from some/ all regions"
"Kuwait","KWT",20200916,"C8: International travel controls",2,NA,"Kuwait International Airport is operating at 30 percent capacity. Passengers arriving must register with the Shlonik application prior to boarding the aircraft and must home quarantine for 14 days upon arrival in Kuwait. A random PCR test will be conducted on ten percent of passengers of each flight upon arrival.    https://web.archive.org/web/20201002063959/https://kw.usembassy.gov/covid-19-information/","kuwait","quarantine arrivals from some/ all regions"
"Laos","LAO",20200922,"C8: International travel controls",3,NA,"According to the UK embassy website, the Government of the Lao PDR has suspended the visa on arrival service at all international entry points. No visas are being issued to people travelling from or transiting a country with ongoing COVID-19 outbreak. However, the authorities may consider granting entry permission for foreigners (experts, technicians and foreign nationals that are required for essential projects) who wish to travel to Laos.  http://web.archive.org/web/20201001184734/https://www.gov.uk/foreign-travel-advice/laos/coronavirus   ","laos","ban arrivals from some regions"
"Lebanon","LBN",20200818,"C8: International travel controls",2,NA,"All Covid-19 related restrictions appear to have been lifted after the tragedy of the Port of Beirut explosion.   https://web.archive.org/web/20200826164623/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19","lebanon","quarantine arrivals from some/ all regions"
"Liberia","LBR",20200831,"C8: International travel controls",2,NA,"Note: All arriving passengers who have not been tested at point of departure will be required to take a rapid test and a PCR swab at the airport upon arrival in Liberia.  In the event of a positive rapid test result, the passenger will be taken to a government-designated Precautionary Observation Center (POC) pending the final PCR test result. See: https://lr.usembassy.gov/covid-19-information/ (web archive unavailable, accessed 14th September 2020 and the page was last updated on August 24, 2020)","liberia","quarantine arrivals from some/ all regions"
"Libya","LBY",20201004,"C8: International travel controls",3,NA,"The government in eastern Libya, led by the Libyan National Army (LNA) leader Field Marshal Khalifa Haftar, has reopened land, air, and sea borders as of Oct. 4. Travellers to Benghazi and other areas in eastern Libya under the LNA must provide a negative test of polymerase chain reaction (PCR) taken no more than 48 hours prior to travel before they are allowed entry.    The GNA resumed flights at Mitiga International Airport (MJI) beginning Aug. 9. Select commercial flights have been operating between Istanbul and MJI since the reopening of the airport in early August.    In September, Emsaed PoE has been open for entry and exit while Ras Ajdir POE remained closed with occasional exceptions granted for returning Libyans during the reporting period.    http://web.archive.org/web/20201010160547/https://www.worldaware.com/warning-alert-authorities-libya-maintaining-varied-levels-covid-19-related-restrictions    http://web.archive.org/web/20201010155644/https://migration.iom.int/reports/libya-%E2%80%94-mobility-restriction-dashboard-8-1-30-september-2020","libya","ban arrivals from some regions"
"Sri Lanka","LKA",20200831,"C8: International travel controls",1,NA,"Still in place.    Airports resumed operations from August 1st. https://web.archive.org/web/20200622001103/https://www.wionews.com/sri-lanka/sri-lanka-further-relaxes-covid-19-curfew-305660    Tourism and Hotel Sector       Opening of hotels is to strictly adhere to government approvals.  All staff are to be given a detailed briefing on the safety measures to be observed in the upcoming weeks.  Strict log of all guests with their contact numbers needs to be maintained by the management.  All foreign guests need to show proof of travel and health insurance prior to checking in, to cover any possible cost of treatment/hospitalisation.    https://archive.fo/Fiv2b","sri lanka","screening arrivals"
"Lesotho","LSO",20201002,"C8: International travel controls",3,NA,"""Movement of other persons in or out of Lesotho is still prohibited.""    http://web.archive.org/web/20201012125001/https://www.gov.uk/foreign-travel-advice/lesotho/entry-requirements","lesotho","ban arrivals from some regions"
"Lithuania","LTU",20201001,"C8: International travel controls",2,NA,"Source https://web.archive.org/web/20201011195858/https://lrv.lt/en/news/covid-19-related-restrictions-updated-on-8-october-2020.  No change to workplace closing status since three-month lockdown finished in June.","lithuania","quarantine arrivals from some/ all regions"
"Luxembourg","LUX",20200913,"C8: International travel controls",3,NA,"s://web.archive.org/web/20200925011130/https://lu.usembassy.gov/covid-19-information/  ","luxembourg","ban arrivals from some regions"
"Latvia","LVA",20200921,"C8: International travel controls",2,NA,"""A foreigner who has a 14-day cumulative number of COVID-19 cases per 100,000 population exceeds 16 must observe self-isolation for 10 days.""  http://web.archive.org/web/20201002080223/https://www.spkc.gov.lv/lv/valstu-saslimstibas-raditaji-ar-covid-19-0","latvia","quarantine arrivals from some/ all regions"
"Macao","MAC",20200929,"C8: International travel controls",3,NA,"Visitors from foreign countries are prohibited form entering Macao.  http://web.archive.org/web/20201009010736/https://www.macaotourism.gov.mo/en/article/notice/covid19-notice  ","macao","ban arrivals from some regions"
"Morocco","MAR",20200914,"C8: International travel controls",3,NA,"Government reopens borders to 67 visa-exempt countries with some restrictions. Citizens of those countries cleared to travel to Morocco without a visa will be allowed entry, provided that they have an express invitation from a Morocco company or a confirmed hotel reservation.(MSN News, 14.09.2020).    All travellers planning to fly to Morocco must have valid negative Covid-19 test results issued no more than 48 hours before their flight.    https://web.archive.org/web/20200925052707/https://travelbans.org/africa/morocco/","morocco","ban arrivals from some regions"
"Moldova","MDA",20200928,"C8: International travel controls",3,NA,"According to the IOM Global Mobility Restriction Overview Weekly update (published on 28 September), the Republic of Moldova issued restrictions barring entry of passengers from Austria, Belgium, Czechia, Jamaica, Monaco, Nepal, Netherlands, Oman, Portugal, Switzerland, United Arab Emirates, the Bolivarian Republic of Venezuela and concurrently lifted restrictions to allow entry for passengers arriving from Ecuador, El Salvador, Eswatini, the Gambia, Guatemala, Kazakhstan, Kuwait, Luxembourg, Paraguay, Philippines, the Kingdom of Saudi Arabia and South Africa.     http://web.archive.org/web/20201004213811/https://reliefweb.int/sites/reliefweb.int/files/resources/DTM%20%28COVID-19%29%20Global%20Mobility%20Restriction%20Overview%20-%2028%20September%202020.pdf","moldova","ban arrivals from some regions"
"Madagascar","MDG",20201001,"C8: International travel controls",1,NA,"International flights are permitted to resume from Nosy Be International Airport. However, tourists arriving into Nosy Be are prohibited from leaving the island, so it is only a partial border reopening.    https://web.archive.org/web/20201012213846/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19    https://web.archive.org/web/20201012214310/https://www.garda.com/crisis24/news-alerts/386456/madagascar-covid-19-curfew-lifted-as-state-of-health-emergency-extended-until-october-18-update-18","madagascar","screening arrivals"
"Mexico","MEX",20200918,"C8: International travel controls",1,NA,"""The Mexican government encourages people to continue respecting social distancing measures, washing their hands, and coughing or sneezing in the inner part of the elbow to prevent the spread of COVID-19.  A variety of prevention measures can be found at https://coronavirus.gob.mx  For U.S. citizens who have participated in higher risk activities or think that they may have been exposed before or during a trip, the CDC encourages people to take the following extra precautions to protect others for 14 days after arrival:  Stay home as much as possible.  Avoid staying around people at higher risk for severe illness from COVID-19.  Consider getting tested for COVID-19.  In the United States, quarantine requirements and recommendations may vary by state.  Therefore, travelers should review an individual state’s entry requirements before traveling.""      http://web.archive.org/web/20200927195013/https://mx.usembassy.gov/u-s-citizen-services/covid-19-information/    ","mexico","screening arrivals"
"Mali","MLI",20200915,"C8: International travel controls",2,NA,"According to the US Embassy in Mali, the Government of Mali is continuing to implement 'enhanced screening and quarantine measures to reduce the spread of COVID-19.'   https://web.archive.org/web/20200924144234/https://ml.usembassy.gov/covid-19-information/","mali","quarantine arrivals from some/ all regions"
"Myanmar","MMR",20200926,"C8: International travel controls",4,NA,"As seen on the Myanmar government tourism website:  1.	No International flights to any international airport in Myanmar until October 31.  2.	No entry for foreign nationals through Myanmar land borders until October 31  3.	The Myanmar government suspended the e-visa and visa-on-arrival programs for visitors of all countries until October 31.  http://web.archive.org/web/20201006151611/https://tourism.gov.mm/covid-19/  ","myanmar","ban on all regions/total border closure"
"Mongolia","MNG",20200916,"C8: International travel controls",4,NA,"The border closure measure is still in place. ","mongolia","ban on all regions/total border closure"
"Mozambique","MOZ",20201013,"C8: International travel controls",2,NA,"13th October 2020, The Ministry of Health (MISAU) continues screening at airports and other points of entry scanning the temperatures of all travelers.  Travelers will be required to provide proof of negative Polymerase Chain Reaction (PCR)-based COVID-19 test results administered in their country of origin within 72 hours of departure.     All arrivals to Mozambique, regardless of citizenship, will be on a mandated 10-day self-quarantine.    https://web.archive.org/web/20201013074437/https://mz.usembassy.gov/covid-19-information/","mozambique","quarantine arrivals from some/ all regions"
"Mauritania","MRT",20200910,"C8: International travel controls",1,NA,"As of 10 September, some commercial flights are permitted. Travelers must present evidence of a negative Covid-19 test.  https://web.archive.org/web/20200512132407/https://www.gov.uk/foreign-travel-advice/mauritania/entry-requirements","mauritania","screening arrivals"
"Mauritius","MUS",20201001,"C8: International travel controls",2,NA,"1st October 2020, Mauritius has announced the phased easing of travel restrictions. Borders will be open to Mauritian nationals, residents and tourists travelling to Mauritius for long stays. Passengers will have to undergo a PCR test 5 days prior to travel. Upon arrival in Mauritius, a 14-day quarantine will be mandatory at an establishment approved by the authorities.    https://web.archive.org/web/20201002065657/https://www.tourism-mauritius.mu/en-int/mauritius-travel-alerts","mauritius","quarantine arrivals from some/ all regions"
"Malawi","MWI",20200918,"C8: International travel controls",2,NA,"Quarantine requirements  Individuals testing positive for coronavirus on arrival may be taken for treatment at a government facility.    All other individuals will be required to self-isolate for 14 days after arrival. Anyone who is unable to self-isolate may be transferred to a local treatment facility for the self-isolation period. Travellers are not permitted to self-isolate in a hotel or lodge.  Source: http://web.archive.org/web/20200608130226/https://www.gov.uk/foreign-travel-advice/malawi/entry-requirements","malawi","quarantine arrivals from some/ all regions"
"Malaysia","MYS",20200921,"C8: International travel controls",2,NA,"On September 18, the Immigration Department of Malaysia announced that foreign travelers with long-term passes may now enter Malaysia with approval by the Immigration Department of Malaysia.  All foreign nationals traveling to Malaysia MUST have explicit, written permission from the Malaysian authorities prior to arrival. As of July 24, all travelers are required to undergo COVID testing on arrival and a mandatory fourteen-day quarantine at a facility designated by the Malaysian government.   http://web.archive.org/web/20201001195503/https://my.usembassy.gov/covid-19-information/   ","malaysia","quarantine arrivals from some/ all regions"
"Namibia","NAM",20200926,"C8: International travel controls",1,NA,"Note: Hosea Kutako International airport re-opened on 1 September. Travellers must present a negative COVID-19 PCR test result, valid for 72 hours before boarding their flight to Namibia. Ethiopian Airlines commenced commercial flights on September 11, 2020, and Eurowings commenced service on September 19, 2020. Qatar Airways is set to resume service on October 15, 2020. See: https://na.usembassy.gov/covid-19-information/; https://www.gov.uk/foreign-travel-advice/namibia/coronavirus [accessed 5th October, 2020, web archive unavailable]","namibia","screening arrivals"
"Niger","NER",20201002,"C8: International travel controls",1,NA,"Nothing noted on Noger website about travel controls. According to the US Embassy in Niger ""A rapid COVID-19 test and a nasal swab may be taken from passengers upon arrival and passengers will be encouraged to self-quarantine at a precise address.  Niger will fine airlines for boarding passengers who do not have a valid certificate of a negative test result taken within the previous 72 hours.    All people testing positive for COVID-19 at the airports will be led automatically to a governmental quarantine site.  Foreign nationals who refuse a COVID-19 test at the airport will be denied entry into Niger and turned back to the airlines.  Nigerien nationals who refuse a test at the airport will have their passports seized by the Nigerien police.""  /web/20201012152901/https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/","niger","screening arrivals"
"Nigeria","NGA",20200925,"C8: International travel controls",1,NA,"Testing / Screening on arrival  Prior to departure, passengers travelling to Nigeria must complete the on-line pre-boarding health declaration at the Nigeria International Travel Portal. They must also have tested negative for COVID-19 within 120 hours of their departure to Nigeria, and have uploaded their PCR test certificate to the on-line Travel Portal. Passengers must also carry evidence of the test and result when they travel. Only a COVID-19 PCR test is acceptable to the Nigerian authorities. Also before travel, passengers must book and pay for a repeat PCR test for day 7 of their arrival in Nigeria at the Nigeria International Travel Portal– evidence of the booking will be required on arrival. On arrival all passengers will be screened by Port Health Officials and be required to provide full contact details, including their address in Nigeria.    You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test.   Source: http://web.archive.org/web/20201004072754/https://www.gov.uk/foreign-travel-advice/nigeria/entry-requirements ","nigeria","screening arrivals"
"Nicaragua","NIC",20200907,"C8: International travel controls",2,NA,"Negative covid test required to enter     http://web.archive.org/web/20200904203131/https://ni.usembassy.gov/covid-19-information-2-2-2-2/","nicaragua","quarantine arrivals from some/ all regions"
"Netherlands","NLD",20200914,"C8: International travel controls",3,NA,"Government announced that there will be some easing of restrictions on the ban on entry as of September 14 2020 for top athletes - meaning that they can enter the Netherlands with authorisation even if they are coming from countries that are banned from entry to the Netherlands due to Covid-19.     http://web.archive.org/web/20200914184837/https://www.rijksoverheid.nl/onderwerpen/coronavirus-covid-19/nieuws/2020/09/11/uitzonderingen-inreisverbod-nederland-onder-strikte-voorwaarden","netherlands","ban arrivals from some regions"
