"","CountryName","intl_travel.CountryCode","intl_travel.Date","International.Travel","intl_travel.PolicyValue","intl_travel.Flag","intl_travel.Notes","intl_travel.region","intl_travel.value","dom_move.CountryCode","dom_move.Date","Domestic.Movement","dom_move.PolicyValue","dom_move.Flag","dom_move.Notes","dom_move.region","dom_move.value","stayhome.CountryCode","stayhome.Date","Stay.Home","stayhome.PolicyValue","stayhome.Flag","stayhome.Notes","stayhome.region","stayhome.value","gathering.CountryCode","gathering.Date","Gathering.Restrictions","gathering.PolicyValue","gathering.Flag","gathering.Notes","gathering.region","gathering.value","public_transport.CountryCode","public_transport.Date","Public.Transport","public_transport.PolicyValue","public_transport.Flag","public_transport.Notes","public_transport.region","public_transport.value"
"76","Hungary","HUN",20201001,"C8: International travel controls",4,NA,"""From 1 September, Hungary has closed its border to most foreign nationals due to the coronavirus pandemic. There are some limited circumstances in which foreign nationals, including UK nationals, may be allowed entry.""    http://web.archive.org/web/20201011070731/https://www.gov.uk/foreign-travel-advice/hungary/entry-requirements","hungary","ban on all regions/total border closure","HUN",20201001,"C7: Restrictions on internal movement",0,NA,"No change.","hungary","no measures","HUN",20201001,"C6: Stay at home requirements",0,NA,"No stay at home requirements found at this point.","hungary","no measures","HUN",20201001,"C4: Restrictions on gatherings",2,"National","""Indoor events with over 500 attendees are currently banned.""  http://web.archive.org/web/20201011065236/https://www.gov.uk/foreign-travel-advice/hungary/coronavirus","hungary","restrictions on gatherings between 101-1000 people","HUN",20201001,"C5: Close public transport",0,NA,"No change.","hungary","no measures"
"77","Iceland","ISL",20200914,"C8: International travel controls",2,NA,"""All passengers arriving in Iceland on or after 19 August 2020 can choose to either self-isolate for 14 days upon arrival or take two COVID-19 tests, one on arrival and another 5-6 days later. The test fee is ISK 11,000, or ISK 9,000 if booked in advance, and the second test is free. Children born in 2005 or later will be exempt from both testing and self-isolation""    http://web.archive.org/web/20200923145905/https://www.gov.uk/foreign-travel-advice/iceland/entry-requirements","iceland","quarantine arrivals from some/ all regions","ISL",20200914,"C7: Restrictions on internal movement",0,NA,"No restrictions found.    http://web.archive.org/web/20200923145038/https://www.covid.is/sub-categories/what-is-ban-on-public-events  http://web.archive.org/web/20200923145334/https://www.government.is/news/article/2020/09/04/Less-stringent-restrictions-on-gatherings-take-effect-on-7-September/    http://web.archive.org/web/20200923145550/https://www.gov.uk/foreign-travel-advice/iceland/coronavirus","iceland","no measures","ISL",20200914,"C6: Stay at home requirements",0,NA,"No restrictions found.    http://web.archive.org/web/20200923145038/https://www.covid.is/sub-categories/what-is-ban-on-public-events  http://web.archive.org/web/20200923145334/https://www.government.is/news/article/2020/09/04/Less-stringent-restrictions-on-gatherings-take-effect-on-7-September/    http://web.archive.org/web/20200923145550/https://www.gov.uk/foreign-travel-advice/iceland/coronavirus","iceland","no measures","ISL",20201005,"C4: Restrictions on gatherings",3,"National","""Number limitation . Restrictions on the number of persons coming together are limited to 20 adults, whether in private or public spaces. This includes:  Conferences, seminars, outdoor meetings, etc.  Teaching, lectures and exams.  Entertainment, such as concerts, cultural events, theatrical performances, cinemas, sporting events and private events.  Church services, such as weddings, confirmations, and other religious gatherings.  Other similar events with more than 20 individuals.  The number limit, general proximity limit and mask obligation do not apply to children born in 2005 or later.    At all workplaces and in all activities, no more than 20 people may be inside the same space at the same time. It must be ensured that there is no communication between spaces.    Stores may have up to 100 people inside at a time as long as it is possible to secure 1 meter between people. Stores that are over 1,000 m2 in size may allow an additional one customer for every 10 sqm that is in excess of this 1,000 sqm. However, the maximum number of customers is always 200.    Up to 50 people may attend the funeral.""    ""The restriction takes effect on 5 October 2020 and is valid until and including 19 October 2020.""    Link: https://archive.fo/YAzzh","iceland","restrictions on gatherings between 11-100 people","ISL",20200914,"C5: Close public transport",0,NA,"No new public transit restrictions.  http://web.archive.org/web/20200923145038/https://www.covid.is/sub-categories/what-is-ban-on-public-events  http://web.archive.org/web/20200923145334/https://www.government.is/news/article/2020/09/04/Less-stringent-restrictions-on-gatherings-take-effect-on-7-September/    http://web.archive.org/web/20200923145550/https://www.gov.uk/foreign-travel-advice/iceland/coronavirus","iceland","no measures"
"78","India","IND",20200907,"C8: International travel controls",4,NA,"The Directorate General of Civil Aviation (DGCA), Government of India has extended the ban on scheduled international commercial flights by a month to September 30 from the current date of August 31.    https://web.archive.org/web/20200918062024/https://www.skyscanner.co.in/news/corona-virus-information","india","ban on all regions/total border closure","IND",20200930,"C7: Restrictions on internal movement",2,"Regional","Restriction is imposed in some containment zones, however, there will be no restrictions on inter and intrastate movement of goods and services and no separate approval/e-permit/permission is required.     https://web.archive.org/web/20201013071047/https://covidindia.org/wp-content/uploads/2020/10/MHAOrderDt_30092020.pdf","india","restrictions in place","IND",20200826,"C6: Stay at home requirements",2,"Regional","Guidelines for Phased Re-opening (Unlock 4) released by the Government of India’s Ministry of Home Affairs on August 29th stated: “lockdown shall remain in force in the Containment Zones till 30th September, 2020.” “Strict containment measures will be enforced in these containment zones and only essential activities will be allowed.” Also, across India “persons above 65 years of age, persons with co-morbidities, pregnant women, and children below the age of 10 years are advised to stay at home, except for essential and health purposes.” Source:  http://web.archive.org/web/20200903144355/https://cdnbbsr.s3waas.gov.in/s3850af92f8d9903e7a4e0559a98ecc857/uploads/2020/08/2020082958.pdf","india","require not leaving house except for essentials","IND",20201013,"C4: Restrictions on gatherings",4,"Regional","Cinemas, theatres, multiplexes, entertainment parks and other similar places outside the containment zones will be allowed to open from Oct 15, with up to 50% of their seating capacity, for which the SOP’s will be issued by the Ministry of Information & Broadcasting.      https://web.archive.org/web/20201013071047/https://covidindia.org/wp-content/uploads/2020/10/MHAOrderDt_30092020.pdf","india","restrictions on gatherings of <= 10 people","IND",20200826,"C5: Close public transport",1,"National","“Limited train services have resumed.” “Limited inter-state movements of passenger vehicles and buses is now permitted this will vary from state to state within India.” Source: https://web.archive.org/web/20200905142508/https://www.gov.uk/foreign-travel-advice/india/coronavirus  Metro rail remains closed, but “will be allowed to operate with effect from 7th September 2020 in a graded manner, by the Ministry of Housing and Urban Affairs (MOHUA)/ Ministry of Railways (MOR), in consultation with MHA. In this regard, SOP will be issued by MOHUA.” Source: http://web.archive.org/web/20200903144355/https://cdnbbsr.s3waas.gov.in/s3850af92f8d9903e7a4e0559a98ecc857/uploads/2020/08/2020082958.pdf","india","recommend closing/ significantly reduce volume"
"79","Indonesia","IDN",20200904,"C8: International travel controls",3,NA,"Regarding the third stage of New Life Order protocol, Bali still has not been able to open up to foreign tourists as previously planned on September 11. Following the central government / RI, Indonesia will still extend the travel ban until at least the end of 2020.    https://web.archive.org/web/20200917102326/https://www.indonesia.travel/gb/en/news/preparation-to-open-bali-for-visitors-by-implementing-new-era-life-order-protocol","indonesia","ban arrivals from some regions","IDN",20200929,"C7: Restrictions on internal movement",2,"Regional","Domestic travel has been allowed since May at reduced frequency which is increasing in frequency. All means of travel are required to take strict precautions.     https://web.archive.org/web/20201009072029/https://www.headout.com/post-covid19-travelling-to-indonesia      ","indonesia","restrictions in place","IDN",20200928,"C6: Stay at home requirements",2,"Regional","On the 24th of September, The Provincial Government (Pemprov) of DKI Jakarta has again extended the Large-Scale Social Restrictions (PSBB) in Jakarta because there is still a potential for an increase in the number of positive cases of COVID-19 if the easing is implemented from 28th September until 11October 2020  http://web.archive.org/web/20200929070848/https://jakarta.go.id/artikel/konten/6914/tekan-kenaikan-kasus-covid-19-pemprov-dki-perpanjang-psbb-di-jakarta","indonesia","require not leaving house except for essentials","IDN",20200928,"C4: Restrictions on gatherings",4,"Regional","On the 24th of September, The Provincial Government (Pemprov) of DKI Jakarta has again extended the Large-Scale Social Restrictions (PSBB) in Jakarta because there is still a potential for an increase in the number of positive cases of COVID-19 if the easing is implemented from 28th September until 11October 2020  http://web.archive.org/web/20200929070848/https://jakarta.go.id/artikel/konten/6914/tekan-kenaikan-kasus-covid-19-pemprov-dki-perpanjang-psbb-di-jakarta","indonesia","restrictions on gatherings of <= 10 people","IDN",20200928,"C5: Close public transport",1,"Regional","On the 24th of September, The Provincial Government (Pemprov) of DKI Jakarta has again extended the Large-Scale Social Restrictions (PSBB) in Jakarta because there is still a potential for an increase in the number of positive cases of COVID-19 if the easing is implemented from 28th September until 11October 2020  http://web.archive.org/web/20200929070848/https://jakarta.go.id/artikel/konten/6914/tekan-kenaikan-kasus-covid-19-pemprov-dki-perpanjang-psbb-di-jakarta","indonesia","recommend closing/ significantly reduce volume"
"80","Iran","IRN",20201006,"C8: International travel controls",3,NA,"The president also reiterated that it is now illegal to cross the border to neighbouring Iraq to take part in religious pilgrimages this year. Each year, millions of Muslims flock to Iraq to observe mourning ceremonies.  /web/20201014015002/https://www.aljazeera.com/news/2020/10/3/iran-to-implement-stricter-restrictions-as-covid-cases-mount","iran","ban arrivals from some regions","IRN",20201006,"C7: Restrictions on internal movement",2,"National","The president also reiterated that it is now illegal to cross the border to neighbouring Iraq to take part in religious pilgrimages this year. Each year, millions of Muslims flock to Iraq to observe mourning ceremonies.   /web/20201014015002/https://www.aljazeera.com/news/2020/10/3/iran-to-implement-stricter-restrictions-as-covid-cases-mount","iran","restrictions in place","IRN",20201006,"C6: Stay at home requirements",2,"Regional","Article dated 10-3-2020, the top anti-COVID coordinator for Tehran called on the capital’s governor to impose a one-week closure of a wide range of businesses to slow the spread of the virus. /web/20201014015002/https://www.aljazeera.com/news/2020/10/3/iran-to-implement-stricter-restrictions-as-covid-cases-mount","iran","require not leaving house except for essentials","IRN",20201006,"C4: Restrictions on gatherings",4,"National","Effective October 3rd. Universities, schools, cinemas, hair and beauty salons, events, sports clubs, cafes, indoor pools and gyms should be among places that should be shut down for one week in the capital. /web/20201014011646/https://www.aljazeera.com/news/2020/10/3/iran-to-implement-stricter-restrictions-as-covid-cases-mount","iran","restrictions on gatherings of <= 10 people","IRN",20201006,"C5: Close public transport",0,NA,"No new news on transportation. As of September 26 article masks and hand santizer are offered on buses. Less people are taking transportation. /web/20201014014338/https://financialtribune.com/articles/people/105465/covid-19-takes-a-69m-toll-on-iran-s-public-transport-fleet","iran","no measures"
"81","Iraq","IRQ",20200907,"C8: International travel controls",1,NA,"From 7th September 2020, crossing borders have been opened exclusively in order to permit commercial movement, subject to health guidelines.  https://web.archive.org/web/20200910164619/http://www.xinhuanet.com/english/2020-09/09/c_139353387.htm","iraq","screening arrivals","IRQ",20200910,"C7: Restrictions on internal movement",1,"National","From 10th September, ""the Higher Committee for Health and National Safety, headed by Prime Minister Mustafa al-Kadhimi, has permitted movement of the citizens between provinces""  https://web.archive.org/web/20200910164846/http://www.xinhuanet.com/english/2020-09/10/c_139359134.htm","iraq","recommend not to travel between regions","IRQ",20200815,"C6: Stay at home requirements",2,"National","On August 15, the Government of Iraq amended the curfew. A partial curfew is in effect seven days a week from 10:00 pm to 5:00am.  https://web.archive.org/web/20200820102320/https://iq.usembassy.gov/covid-19-information/","iraq","require not leaving house except for essentials","IRQ",20200731,"C4: Restrictions on gatherings",4,"National","According to Middle East monitor news published on 23rd July , 2020 ,""A full lockdown will be imposed across Iraq during the Eid Al-Adha holiday which starts on 31 July to prevent the spread of the COVID-19, the Ministry of Health announced yesterday.    Linkhttps://web.archive.org/web/20200808110446/https://www.middleeastmonitor.com/20200723-iraq-to-impose-full-lockdown-during-eid-to-prevent-covid-19/  Iraqi Authorities  introduced complete lockdown nationwide till August 9.  Link:https://web.archive.org/web/20200808111349/https://www.garda.com/crisis24/news-alerts/363481/iraq-authorities-announce-total-lockdown-for-eid-al-adha-holiday-until-august-9-update-44","iraq","restrictions on gatherings of <= 10 people","IRQ",20200731,"C5: Close public transport",2,"National","According to Middle East monitor news published on 23rd July , 2020 ,""A full lockdown will be imposed across Iraq during the Eid Al-Adha holiday which starts on 31 July to prevent the spread of the COVID-19, the Ministry of Health announced yesterday.    Linkhttps://web.archive.org/web/20200808110446/https://www.middleeastmonitor.com/20200723-iraq-to-impose-full-lockdown-during-eid-to-prevent-covid-19/  Iraqi Authorities  introduced complete lockdown nationwide till August 9.  Link:https://web.archive.org/web/20200808111349/https://www.garda.com/crisis24/news-alerts/363481/iraq-authorities-announce-total-lockdown-for-eid-al-adha-holiday-until-august-9-update-44","iraq","require closing"
"82","Ireland","IRL",20200921,"C8: International travel controls",2,NA,"You are requested to restrict your movements for 14 days if you arrive into Ireland from another location that is not on the COVID-19 Green List.   The request to restrict movements does not apply to individuals arriving into Ireland from locations on the constantly reviewed green list: Cyprus, Finland, Latvia, Liechtenstein.  http://web.archive.org/web/20201001173103/https://www.gov.ie/en/publication/8868e-view-the-covid-19-travel-advice-list/   ","ireland","quarantine arrivals from some/ all regions","IRL",20201007,"C7: Restrictions on internal movement",2,"National","https://web.archive.org/web/*/https://www.gov.ie/en/publication/ad569-level-3/  Stay in your county apart from work, education, medical and other essential purposes, if appropriate.","ireland","restrictions in place","IRL",20200918,"C6: Stay at home requirements",1,"National","""You can have visitors to your home from one other household only, or up to 6 visitors to your home from up to 3 other households. You can meet socially outdoors in groups of up to 15 people from up to 3 households.""    Web Link: https://web.archive.org/web/20200920123552/https://www.citizensinformation.ie/en/covid19/living_with_covid19_plan.html","ireland","recommend not leaving house","IRL",20201007,"C4: Restrictions on gatherings",3,"Regional","https://web.archive.org/web/*/https://www.gov.ie/en/publication/ad569-level-3/","ireland","restrictions on gatherings between 11-100 people","IRL",20201002,"C5: Close public transport",1,"Regional","Operates at 50% capacity in level 3 restritions   https://web.archive.org/web/*/https://www.gov.ie/en/publication/ad569-level-3/","ireland","recommend closing/ significantly reduce volume"
"83","Israel","ISR",20201002,"C8: International travel controls",2,NA,"""Please note that all arriving passengers, including U.S. citizens, may be subject to health screening and/or a mandatory 14-day quarantine in a Government of Israel-established quarantine center. Those who demonstrate the ability to maintain proper home isolation (such as those with a housing of their own or a completely separate housing unit with no other occupants) may be allowed to undergo their 14-day required isolation at home or another suitable location available to them. Individuals who are unable to home-isolate according to regulations will be directed to hotel isolation at the expense of the State of Israel. Arriving passengers will not be allowed to return to home isolation via public transportation with the exception of taxis (in accordance with regulations on masks/open windows). For more information, contact the?Israeli Ministry of Health.  Please refer to the?Israeli Ministry of Health’s instructions?for home quarantine and health precaution instructions, or call *5400 (in Israel only).""    http://web.archive.org/web/20201011142920/https://il.usembassy.gov/covid-19-information/","israel","quarantine arrivals from some/ all regions","ISR",20201010,"C7: Restrictions on internal movement",2,"National","The corona cabinet is expected to meet on Tuesday to discuss relaxing lockdown measures. However, nothing is expected to change until Sunday.    http://web.archive.org/web/20201011140051/https://www.jpost.com/israel-news/coronavirus-israel-readies-for-first-steps-toward-exiting-lockdown-645271    Lockdown tightened in Israel on Friday 25 September amid a rise in infections. Police and roadblocks deployed on highways and at entrances to city to prevent people travelling during lockdown        https://web.archive.org/web/20201001094553/https://www.timesofisrael.com/israels-lockdown-roadblocks-empty-beaches-outdoor-prayers-cyclists-galore/   ","israel","restrictions in place","ISR",20201010,"C6: Stay at home requirements",2,"National","The corona cabinet is expected to meet on Tuesday to discuss relaxing lockdown measures. However, nothing is expected to change until Sunday.    http://web.archive.org/web/20201011140051/https://www.jpost.com/israel-news/coronavirus-israel-readies-for-first-steps-toward-exiting-lockdown-645271    Israel announced a 3 week national lockdown effective 18 September from 14:00 until 11 October 2020.     Movement in leaving one’s home shall be restricted to 500 meters, other regulations stated this to be 1000m, causing confusion.  There is a long list of exceptions where people are permitted to leave home- including alternative medicine, or therapy; going to the Knesset; attending a protest; donating blood.    https://web.archive.org/web/20201001092512/https://www.timesofisrael.com/israels-lockdown-rules-effective-from-september-18-at-2-p-m/     https://web.archive.org/web/20201001093334/https://www.timesofisrael.com/who-by-prayer-who-by-protest-a-guide-for-the-lockdown-perplexed/ ","israel","require not leaving house except for essentials","ISR",20201010,"C4: Restrictions on gatherings",4,"National","The corona cabinet is expected to meet on Tuesday to discuss relaxing lockdown measures. However, nothing is expected to change until Sunday.    http://web.archive.org/web/20201011140051/https://www.jpost.com/israel-news/coronavirus-israel-readies-for-first-steps-toward-exiting-lockdown-645271    Israel announced a 3 week national lockdown effective 18 September from 14:00 until 11 October 2020.     The regulations also generally cap indoor gatherings at 10 people, and 20 outdoors. There is a restriction of gatherings according to the color red in the ‘traffic light’ model – up to 10 people in a closed space and up to 20 in an open area. In areas that are not red: in closed structures, prayer shall be permitted in groups of up to 25 people.     https://web.archive.org/web/20201001092512/https://www.timesofisrael.com/israels-lockdown-rules-effective-from-september-18-at-2-p-m/     https://web.archive.org/web/20201001093334/https://www.timesofisrael.com/who-by-prayer-who-by-protest-a-guide-for-the-lockdown-perplexed/ ","israel","restrictions on gatherings of <= 10 people","ISR",20201010,"C5: Close public transport",1,"National","The corona cabinet is expected to meet on Tuesday to discuss relaxing lockdown measures. However, nothing is expected to change until Sunday.    http://web.archive.org/web/20201011140051/https://www.jpost.com/israel-news/coronavirus-israel-readies-for-first-steps-toward-exiting-lockdown-645271    Israel announced a 3 week national lockdown effective 18 September from 14:00 until 11 October 2020.     The emergency regulations lay out health rules for public transportation, indicating it will operate during the lockdown, though it remains unclear whether it will be scaled back. Trains will cap capacity at 50%, and intra-city buses will be allowed to carry a maximum of 32 passengers. Intercity buses, meanwhile, may only take 30 passengers. Tickets for the trains must be purchased in advance, while bus tickets must be activated by the passengers, except for people who require assistance from the driver. Eating is not permitted on board.     https://web.archive.org/web/20201001092512/https://www.timesofisrael.com/israels-lockdown-rules-effective-from-september-18-at-2-p-m/     https://web.archive.org/web/20201001093334/https://www.timesofisrael.com/who-by-prayer-who-by-protest-a-guide-for-the-lockdown-perplexed/ ","israel","recommend closing/ significantly reduce volume"
"84","Italy","ITA",20201006,"C8: International travel controls",3,NA,"No change in policy found. There is still a ban on entry to Italy from certain countries.    https://web.archive.org/web/20201013221412/https://www.esteri.it/mae/en/ministero/normativaonline/decreto-iorestoacasa-domande-frequenti/focus-cittadini-italiani-in-rientro-dall-estero-e-cittadini-stranieri-in-italia.html    All travelers arriving in Italy from abroad must self-isolate for 14 days unless they are traveling from an exempted country or for a purpose that falls under current exceptions.    https://web.archive.org/web/20201013215656/https://it.usembassy.gov/covid-19-information/      ","italy","ban arrivals from some regions","ITA",20201006,"C7: Restrictions on internal movement",0,NA,"No change in policy found. There are no restrictions on intercity or interstate travel.    https://web.archive.org/web/20201013215656/https://it.usembassy.gov/covid-19-information/","italy","no measures","ITA",20201006,"C6: Stay at home requirements",0,NA,"No change in policy found. No curfew in place.    https://web.archive.org/web/20201013215656/https://it.usembassy.gov/covid-19-information/","italy","no measures","ITA",20201006,"C4: Restrictions on gatherings",3,"National","The new Decree signed 13 October 2020 strongly recommends avoiding parties and avoiding meetings between more than *6* non-cohabiting persons in private homes. Parties following civil or religious ceremonies can be held with the maximum participation of *30* people in accordance with the protocols and guidelines. Access to places of worship is permitted so long as social distance protocols can be followed (1 meter).    Indoor sporting events are still limited to 200 spectators as previously noted; however, this indicator is meant to code private gatherings.    https://web.archive.org/web/20201013210123/http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5119","italy","restrictions on gatherings between 11-100 people","ITA",20201006,"C5: Close public transport",1,"National","Public transportation including airlines, trains, and buses continue to operate, but with reduced frequency.    https://web.archive.org/web/20201013215656/https://it.usembassy.gov/covid-19-information/","italy","recommend closing/ significantly reduce volume"
"85","Jamaica","JAM",20200807,"C8: International travel controls",2,NA,"2. Jamaica’s most recent disaster risk management order, published on August 5th, stated: “All persons arriving in Jamaica are required to undergo a health screening and risk assessment.”  “ A person seeking to enter Jamaica at any time during the period from August 7, 2020, to September 30, 2020, who is ordinarily resident in Jamaica shall, on being permitted to enter Jamaica, be required to remain in quarantine, in isolation from other persons, in accordance with— (a) a home quarantine order; or (b) a Government facility quarantine order, issued to the person by a Medical Officer (Health)”   In the case of a “non-resident visiting Jamaica for business (duration of stay-less than fourteen days)” “the Medical Officer (Health), Medical Officer or public health officer has determined that you require testing for COVID19 and you are to be quarantined until released by the Parish Health Department. If you test negative and will be in country for less than fourteen days, the Parish Health Officer will advise you of your result and your release from quarantine.”  Also, any “non-national visiting Jamaica for tourism and staying in the resilient corridor” is “required to remain in the hotel property stated below within the COVID19 Tourism Resilient Corridor for the duration of your stay. You are required to report symptoms 842 PROCLAMATIONS, RULES AND REGULATIONS [AUGUST 5, 2020 to the health desk in your hotel or to the health department and based on assessment, you may be required to do a COVID-19 PCR test”.  Source: https://web.archive.org/web/20200906095950/https://jis.gov.jm/media/2020/08/Disaster-Risk-ManagementEnforcement-Measures-No.-11-Amendment-Order.pdf  Also, “from 20 August, visitors from high risk places the USA, Brazil, Mexico and the Dominican Republic will be required to upload a valid Polymerase Chain Reaction (PCR) test result, no more than seven days old. Approval for travel will be subject to the upload of the test result.” Source: https://web.archive.org/web/20200906175955/https://www.gov.uk/foreign-travel-advice/jamaica/entry-requirements","jamaica","quarantine arrivals from some/ all regions","JAM",20200825,"C7: Restrictions on internal movement",2,"National","It is still current that there are restrictions on internal movement in Jamaica. “The time for the island-wide curfew has been brought forward from 11pm to 5am and will now run from  9pm to 5am daily, effective Thursday, August 27”. Source: http://web.archive.org/web/20200906172732/http://www.loopjamaica.com/content/83-new-covid-19-cases-tighter-curfew-hours-all-parishes Also, “St. Catherine, Kingston & St. Andrew, Clarendon and St. Thomas have been placed under separate curfew from 7pm to 5am” and “localised quarantines are in place in some communities in St Thomas [Sandy Bay, Clarendon; Church Corner, St. Thomas]”  Source: http://web.archive.org/web/20200906153601/https://www.gov.uk/foreign-travel-advice/jamaica/coronavirus","jamaica","restrictions in place","JAM",20200908,"C6: Stay at home requirements",2,"National","Curfew was extended from [9pm-5am] to [8pm-5am] on 8 September. It is effective until 23 September.    https://archive.vn/dRwtR","jamaica","require not leaving house except for essentials","JAM",20200908,"C4: Restrictions on gatherings",3,"National","'Persons in public spaces will not be allowed to gather in groups exceeding 15 persons [reduced from 20] as of Tuesday, September 8, 2020, ending Tuesday, September 22, 2020.' This includes the place of worship and funerals.    https://archive.vn/dRwtR","jamaica","restrictions on gatherings between 11-100 people","JAM",20200908,"C5: Close public transport",1,"National","'The Prime Minister [of Jamaica] said the provision of public transportation by motor cars will be limited to one person less than the maximum number of persons allowed to be carried under the relevant licence.'    https://archive.vn/dRwtR","jamaica","recommend closing/ significantly reduce volume"
"86","Japan","JPN",20200924,"C8: International travel controls",1,NA,"A PCR test will be conducted at the airport upon arrival.   http://web.archive.org/web/20201004001615/https://jp.usembassy.gov/covid-19-information/   Japan partially resumed accepting people from the rest of the world, effective Thursday, allowing entry by foreign nationals planning to stay in Japan for at least three months.  http://web.archive.org/web/20201004001958/https://www.japantimes.co.jp/news/2020/10/03/national/japan-double-coronavirus-checks-airports-20000/   ","japan","screening arrivals","JPN",20200910,"C7: Restrictions on internal movement",1,"Regional","Voluntary restrictions have been loosened again in Tokyo,  but this does not seem to affect travelling.   https://www.japantimes.co.jp/news/2020/09/10/national/tokyo-bars-hours-coronavirus/","japan","recommend not to travel between regions","JPN",20200910,"C6: Stay at home requirements",1,"National","Voluntary restrictions have been loosened again in Tokyo.  https://www.japantimes.co.jp/news/2020/09/10/national/tokyo-bars-hours-coronavirus/","japan","recommend not leaving house","JPN",20200924,"C4: Restrictions on gatherings",0,NA,"Large gatherings are permitted to a maximum of 5000 people.  http://web.archive.org/web/20201004001615/https://jp.usembassy.gov/covid-19-information/   ","japan","no restrictions","JPN",20200704,"C5: Close public transport",0,NA,"No state of emergency to be reinstated:    https://web.archive.org/web/20200712220113/https://www.japantimes.co.jp/news/2020/07/08/national/coronavirus-cases-state-of-emergency/#.XwuITCieQ2w","japan","no measures"
"87","Jordan","JOR",20200925,"C8: International travel controls",2,NA,"""Regularly scheduled flights from Amman's Queen Alia International Airport (AMM) resumed on September 8. Rules for incoming passengers depend on the epidemiological situation in their countries of origin, with a color-coded classification list regularly updated by the Transport Ministry. The latest list can be found here. A minimum of one week of self-isolation to a maximum of two weeks of quarantine may be required for arriving passengers. All travelers will be required to provide a negative COVID-19 test administered in the previous 72-hours prior to travel and will also be required to be tested on arrival.""    https://web.archive.org/web/20201004210634/https://www.garda.com/crisis24/news-alerts/380606/jordan-authorities-tighten-covid-19-restrictions-nationwide-september-17-update-35    https://web.archive.org/web/20201004211102/https://www.visitjordan.gov.jo/Country-Categories.html","jordan","quarantine arrivals from some/ all regions","JOR",20200925,"C7: Restrictions on internal movement",0,NA,"https://web.archive.org/web/20201004210111/https://jo.usembassy.gov/covid-19-information/","jordan","no measures","JOR",20201002,"C6: Stay at home requirements",2,"Regional","""The Jordanian government will impose a 24-hour curfew in the town of Al-Qasr (Karak province) from Friday, October 2, until October 9 due to a rise in coronavirus disease (COVID-19) cases in the area. From 06:00 (local time) on Friday, only those with special permits from local authorities will be allowed to travel in and out of Al-Qasr until October 9. Similar restrictions are in effect in Baqaa Camp (Balqa province) and the Batrawi and New Zarqa areas of Zarqa province until October 8, as well as Ghor Al-Safi and Ghor Al-Mazra'a in Karak province until Sunday, October 4.""    https://web.archive.org/web/20201004211724/https://www.garda.com/crisis24/news-alerts/385006/jordan-authorities-to-impose-full-curfew-restrictions-in-al-qasr-between-october-2-9-update-37","jordan","require not leaving house except for essentials","JOR",20200925,"C4: Restrictions on gatherings",3,"National","""As per Defense Order No. 16, wedding parties, mournings, and social gatherings of all kinds exceeding twenty people are banned, according to Adaileh.""    https://web.archive.org/web/20201004210306/https://menafn.com/1100814917/Jordan-Government-announces-Defense-Order-16-says-Adaileh      https://web.archive.org/web/20201004210111/https://jo.usembassy.gov/covid-19-information/","jordan","restrictions on gatherings between 11-100 people","JOR",20200925,"C5: Close public transport",1,"National","""The Government of Jordan has closed restaurants, public spaces, and most schools until at least October 1, 2020.  Religious services, including those at mosques and churches, are also suspended.  In addition, the Government of Jordan has implemented social distancing regulations and mandatory mask-wearing in business establishments, public transportation, and government facilities due to COVID-19.  Jordan restricts gatherings to 20 people.  Delivery services for food, public transportation, and health services remain available.""    https://web.archive.org/web/20201004210111/https://jo.usembassy.gov/covid-19-information/","jordan","recommend closing/ significantly reduce volume"
"88","Kazakhstan","KAZ",20201006,"C8: International travel controls",3,NA,"On October 6, a new decree signed by Chief Sanitary Doctor of Kazakhstan Yerlan Kiyasov came into force. According to the degree, all passengers from abroad have to undergo thermometry, fill out a questionnaire, and provide a negative COVID-19 test certificate taken no longer than 72 hours before arrival. Foreign passengers with no COVID-19 certificate are not allowed to enter the country.   Link: https://archive.vn/kcE7D  ","kazakhstan","ban arrivals from some regions","KAZ",20201009,"C7: Restrictions on internal movement",2,"Regional","On October 9, Shymkent city administration extended quarantine until October 26 by restricting bus movements between Shymkent and other cities/regions. Link: https://archive.vn/LQ26F","kazakhstan","restrictions in place","KAZ",20201009,"C6: Stay at home requirements",2,"Regional","On October 9, Shymkent city administration extended quarantine until October 26.  Link: https://archive.vn/QMbun ","kazakhstan","require not leaving house except for essentials","KAZ",20200817,"C4: Restrictions on gatherings",4,"National","From 17th August 2020 onwards, the state commission decided to allow individual and group (no more than five people) outdoor workouts.  https://web.archive.org/web/20200817161532/https://astanatimes.com/2020/08/kazakhstan-to-partially-lift-quarantine-restrictions-starting-aug-17/","kazakhstan","restrictions on gatherings of <= 10 people","KAZ",20201012,"C5: Close public transport",2,"Regional","From October 13, public transport in the Mangistau region will stop operating during weekends.  Link: https://archive.vn/hebQL","kazakhstan","require closing"
