"CountryName","gathering-CountryCode","gathering-Date","Gathering Restrictions","gathering-PolicyValue","gathering-Flag","gathering-Notes","gathering-region","gathering-value"
"Iceland","ISL",20201130,"C4: Restrictions on gatherings",4,"National","No policy change","iceland","restrictions on gatherings of <= 10 people"
"Israel","ISR",20201201,"C4: Restrictions on gatherings",3,"National","No change in policy.","israel","restrictions on gatherings between 11-100 people"
"Italy","ITA",20201126,"C4: Restrictions on gatherings",4,"National","no change in policy","italy","restrictions on gatherings of <= 10 people"
"Jamaica","JAM",20201110,"C4: Restrictions on gatherings",3,"National","No update: https://archive.vn/5100y","jamaica","restrictions on gatherings between 11-100 people"
"Jordan","JOR",20201124,"C4: Restrictions on gatherings",3,"National","Amid the growing number of local infections, the Ministry of Health has renewed its call on the public to abide by defence orders, as well as to adhere to precautionary measures, mainly wearing face masks and avoiding holding gatherings that exceed 20 people.  https://web.archive.org/web/20201208001213/https://www.albawaba.com/news/jordan-registers-4187-covid-cases-51-virus-related-deaths-1396379  https://web.archive.org/web/20201208002726/https://jo.usembassy.gov/covid-19-information/","jordan","restrictions on gatherings between 11-100 people"
"Japan","JPN",20201117,"C4: Restrictions on gatherings",0,NA,"No policy changes. ","japan","no restrictions"
"Kazakhstan","KAZ",20201129,"C4: Restrictions on gatherings",4,"Regional","The Akmola and East Kazakhstan regions prohibit more than 3 people in a group to walk outside.  Link: https://archive.vn/vm77W","kazakhstan","restrictions on gatherings of <= 10 people"
"Kenya","KEN",20201201,"C4: Restrictions on gatherings",3,"National","No change.  On the 28th of September, the Government of Kenya stated that large gatherings, meetings, conferences and political events over 15 people remain suspended. All political gatherings and rallies are suspended until January 3, 2020.  Places of worship may begin phased re-opening in conformity with applicable guidelines developed by the Inter-Faith Council. The permitted maximum size of religious gatherings is increased to one third (1/3) of its normal sitting capacity. The maximum number of persons permitted to attend funerals and weddings is reviewed upwards to 200, with all in attendance abiding with Ministry of Health Protocols.  Source: https://web.archive.org/web/20201207144434/https://ke.usembassy.gov/covid-19-information/","kenya","restrictions on gatherings between 11-100 people"
"Kyrgyzstan","KGZ",20201129,"C4: Restrictions on gatherings",4,"Regional","No changes found since last announcements.","kyrgyzstan","restrictions on gatherings of <= 10 people"
"Cambodia","KHM",20201130,"C4: Restrictions on gatherings",3,"National","Until December 16th 2020 Gatherings of all sizes should be avoided and groups larger than 20 people are prohibited.    https://web.archive.org/web/20201204232420/https://kh.usembassy.gov/covid-19-information/","cambodia","restrictions on gatherings between 11-100 people"
"South Korea","KOR",20201205,"C4: Restrictions on gatherings",3,"Regional","Note that officials in some regions ""plan to maintain the nationwide alert at Level 1.5 through December 14. Under Level 1.5 restrictions, authorities ban gatherings larger than 100 people at demonstrations, large concerts, academic conferences, and other ""high-risk"" activities. However, some events of more than 500 people can occur if organizers inform local officials and ensure social distancing measures.""     https://archive.vn/pNnW0","south korea","restrictions on gatherings between 11-100 people"
"Kuwait","KWT",20201201,"C4: Restrictions on gatherings",2,"National","No change:  https://web.archive.org/web/20201207202816/https://kw.usembassy.gov/covid-19-information/","kuwait","restrictions on gatherings between 101-1000 people"
"Laos","LAO",20201130,"C4: Restrictions on gatherings",0,NA,"Public transportation has resumed operation. Restaurants, grocery stores, and schools/universities are open, and large gatherings and religious ceremonies are permitted. Entertainment venues such as karaoke lounges are opened.    http://web.archive.org/web/20201129203136/https://la.usembassy.gov/covid-19-information/","laos","no restrictions"
"Lebanon","LBN",20201130,"C4: Restrictions on gatherings",4,"National","No policy change found.  ","lebanon","restrictions on gatherings of <= 10 people"
"Liberia","LBR",20201019,"C4: Restrictions on gatherings",3,"National","On 28 October 2020, there is no record of changes to any current policies on the Executive Mansion or Ministry of Health sites.  On 27 October 2020, Health Minister, Dr. Wilhelmina Jallah, indicated that people should continue to follow all health protocols prescribed by the World Health Organization (WHO) and health authorities in Liberia.    https://web.archive.org/web/20201029060315/https://moh.gov.lr/press-release/2020/moh-receives-15-ambulances-from-world-bank-to-fight-covid-19/","liberia","restrictions on gatherings between 11-100 people"
"Libya","LBY",20201116,"C4: Restrictions on gatherings",4,"National","Libyan authorities have taken a series of precautionary measures against the pandemic, including closing the country's borders, shutting down schools and mosques, banning public gatherings and imposing a curfew,    https://web.archive.org/web/20201201053144/https://www.sify.com/news/libya-reports-970-new-covid-19-cases-news-international-ulmfkkdbfidde.html","libya","restrictions on gatherings of <= 10 people"
"Sri Lanka","LKA",20201102,"C4: Restrictions on gatherings",4,"Regional","Pockets of Sri Lanka continue to be under lockdowns and isolation orders:     Sources:  - AP reported on Nov 09: ""[...] the government lifted a curfew that had been in effect in the capital, Colombo, and its suburbs.. Only pockets where infections are high will remain under isolation with no one permitted to enter or leave the area."", https://web.archive.org/web/20201115204723/https://apnews.com/article/virus-outbreak-sri-lanka-asia-arrests-colombo-0511a1a54f569364f2e8bdb901f42c79  - The Hindu, a daily newspaper in India reported on Nov 8, 2020: https://web.archive.org/web/20201115213247/https://www.thehindu.com/news/international/coronavirus-sri-lanka-to-lift-capital-district-lockdown-on-monday/article33052113.ece  ""“The curfew which was in force on the Western province will be lifted at 5 a.m. tomorrow”, Army Commander Shavendra Silva, who heads the national operations center to prevent COVID-19, said. However, Silva said that several areas in the province would still be under isolation.  The capital city and the adjoining Gampaha district was under quarantine curfew continuously over the last 10 days.""  ","sri lanka","restrictions on gatherings of <= 10 people"
"Lesotho","LSO",20201019,"C4: Restrictions on gatherings",3,"National","Public gatherings also permitted for not more than 50 people if indoors and 100 if outdoors. No food and alcohol are allowed to be served at public gatherings:  https://web.archive.org/web/20201130205245/https://www.gov.uk/foreign-travel-advice/lesotho/coronavirus","lesotho","restrictions on gatherings between 11-100 people"
"Lithuania","LTU",20201107,"C4: Restrictions on gatherings",4,"National","Lithuania’s government on Wednesday declared a three-week lockdown starting on Nov.7 (extended end of November), to slow the spread of the novel coronavirus which has accelerated in recent weeks in the Baltic nation.    Public groups of more than 5 people will be banned and no more than 10 people will be allowed at marriages or funerals.  https://web.archive.org/web/20201114114424/https://www.reuters.com/article/health-coronavirus-lithuania/update-1-lithuania-to-enter-three-week-covid-lockdown-on-saturday-idINL8N2HQ525    See also for official communication:  https://web.archive.org/web/20201202092539/https://koronastop.lrv.lt/en/news/covid-19-related-restrictions-updated-on-25-november-2020","lithuania","restrictions on gatherings of <= 10 people"
"Luxembourg","LUX",20201126,"C4: Restrictions on gatherings",4,"National","The maximum number of people that can be received at home, whether indoors or outdoors, is limited to 2. http://web.archive.org/web/20201130202547/https://covid19.public.lu/dam-assets/covid-19/toolbox/nouvelles-mesures/affiche/11-26/201124-santelu-mesures-affiche-a4-EN.pdf","luxembourg","restrictions on gatherings of <= 10 people"
"Latvia","LVA",20201203,"C4: Restrictions on gatherings",4,"National","On 1 December 2020, the Cabinet of Ministers extended the emergency situation introducing stricter safety measures and restriction until January 11, 2021.   http://web.archive.org/web/20201207030317/https://mk.gov.lv/en/aktualitates/emergency-situation-has-been-extended-until-11-january-introducing-stricter-safety  On 1 December 2020, the Cabinet of Ministers extended the emergency situation introducing stricter safety measures and restriction until January 11, 2021.   http://web.archive.org/web/20201207030317/https://mk.gov.lv/en/aktualitates/emergency-situation-has-been-extended-until-11-january-introducing-stricter-safety    As of 3 December, principle 2 + 2 shall be observed by everyone in Latvia in their daily routine - two meters, two people. So, a distance of two meters must be observed and meetings must be limited to two people.  Private events shall be prohibited, except than within a single household. It is allowed to visit people who live alone and need care, observing the 2 + 2 principle.  At funerals and christening ceremonies held in urgent cases, no more than 10 people (excluding those directly involved, such as the clergy) may gather outdoors, from no more than two households, using mouth and nose covers.","latvia","restrictions on gatherings of <= 10 people"
"Macao","MAC",20200929,"C4: Restrictions on gatherings",0,NA,"Public events and private gatherings during the Chinese National holidays are allowed with preventive measures.  http://web.archive.org/web/20201009014114/https://www.gov.mo/zh-hans/news/308586/","macao","no restrictions"
"Morocco","MAR",20201122,"C4: Restrictions on gatherings",3,"Regional","Large gatherings continue to be banned and wedding parties are not allowed in Morocco. The government also extended the state of health emergency until December 10. See https://web.archive.org/web/20201129160809/https://ma.usembassy.gov/25161/","morocco","restrictions on gatherings between 11-100 people"
"Monaco","MCO",20200511,"C4: Restrictions on gatherings",3,"National","In phase 2 reopening, the restrictions on gatherings policy remains the same.    http://web.archive.org/web/20201208140324/https://en.gouv.mc/Policy-Practice/Coronavirus-Covid-2019/Actualites/Lifting-the-lockdown-in-the-Principality-step-by-step    ","monaco","restrictions on gatherings between 11-100 people"
"Moldova","MDA",20201130,"C4: Restrictions on gatherings",4,"National","The National Extraordinary Public Health Commission (CNESP) has ruled to establish emergency state in the public health sector all over Moldova on the period 30 November 2020 – 15 January 2021:  Groups of more than three people are prohibited in public areas. Public parks are open, but people should not congregate in groups larger than three.    https://web.archive.org/web/20201205215306/https://gov.md/en/content/national-extraordinary-public-health-commission-declares-state-emergency-public-health-all   https://web.archive.org/web/20201205214717/https://md.usembassy.gov/u-s-citizen-services/covid-19-information/","moldova","restrictions on gatherings of <= 10 people"
"Madagascar","MDG",20201129,"C4: Restrictions on gatherings",2,"National","No change. Gatherings of more than 200 people remain prohibited.   https://web.archive.org/web/20201206220739/https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/","madagascar","restrictions on gatherings between 101-1000 people"
"Mexico","MEX",20201124,"C4: Restrictions on gatherings",3,"Regional","Red states have all public gatherings restricted and parks are limited to 25% occupancy. As of December 6, Baja California and Zacatecas are red. Source: https://web.archive.org/web/20201207032153/https://www.goal.com/es/noticias/mexico-estados-rojo-naranja-amarillo-verde-coronavirus/a4s3ytu0848w1lci7mkhq5k8i","mexico","restrictions on gatherings between 11-100 people"
"Mali","MLI",20201124,"C4: Restrictions on gatherings",3,"National","Even though new measures were supposed to be announced for December 1st, the presidential speech was incomprehensibly cancelled.     New measures would have included ""closure for 28 days of schools, but also of restaurants, bars and other “places of pleasure”, closure of markets from 2 p.m., night curfews from 9 p.m"".    https://web.archive.org/web/20201207222356/https://northafricapost.com/45715-mali-cancellation-of-presidential-speech-on-measures-against-covid-19.html","mali","restrictions on gatherings between 11-100 people"
"Myanmar","MMR",20201201,"C4: Restrictions on gatherings",3,"National","The Burmese government imposed a nationwide ban on gatherings of 30 or more people.  http://web.archive.org/web/20201109171739/https://mm.usembassy.gov/covid-19-information/","myanmar","restrictions on gatherings between 11-100 people"
"Mongolia","MNG",20201124,"C4: Restrictions on gatherings",4,"National","Restricted unnecessary public movement and mass gathering  https://archive.vn/F9Tcp","mongolia","restrictions on gatherings of <= 10 people"
"Mozambique","MOZ",20201114,"C4: Restrictions on gatherings",3,"National","The SOPC (State of Public Calamity) will allow for the gradual resumption of the following activities:  - Private social events are permitted with up to 40 attendees  - Religious services are permitted at 50 percent capacity, up to 150 attendees  - Public and private institutions can conduct operations in conformance with social distancing and preventative measures including temperature checks, regular cleaning of facilities, ventilation, prohibition of sick staff entering facilities, and a limit of 40 people for events  Link: https://web.archive.org/web/20201115131525/https://mz.usembassy.gov/covid-19-information/","mozambique","restrictions on gatherings between 11-100 people"
"Mauritania","MRT",20201202,"C4: Restrictions on gatherings",2,"National","In order to contain the resurgence of the virus, on December 2, 2020 the government instructed  the suspension of public ceremonies. This suggests some limits to public gatherings, but the exact number is unclear. According to the US embassy, large gatherings are no longer allowed, but religious services are permitted. See: https://web.archive.org/web/20201207235252/https://mr.usembassy.gov/covid-19-information-2/; See also https://web.archive.org/web/20201207235633/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19","mauritania","restrictions on gatherings between 101-1000 people"
"Mauritius","MUS",20201129,"C4: Restrictions on gatherings",0,NA,"No policy change","mauritius","no restrictions"
"Malawi","MWI",20201108,"C4: Restrictions on gatherings",3,"National","No policy change - no official changes or news were found.","malawi","restrictions on gatherings between 11-100 people"
"Malaysia","MYS",20201117,"C4: Restrictions on gatherings",4,"Regional","No change in policy.","malaysia","restrictions on gatherings of <= 10 people"
"Namibia","NAM",20201209,"C4: Restrictions on gatherings",2,"National","Government Notice No. 309 of 1 December 2020 (https://web.archive.org/save/https://mhss.gov.na/documents/119527/807189/%237404-Gov+N309.pdf/64204cca-544c-4af0-ad05-e89eb6808254) did not change Regulation 4 of Government Notice No. 256 of 21 October 2020 (https://web.archive.org/save/https://aviation.wfscorp.com/sites/default/files/2020-11/Namibia%20Government%20Gazette%20N256%20Amended%20COVID19%20General%20Regulations%20Public%20and%20Environmental%20Health%20Act%20of%2021%20October%202020.pdf) which prohibits gatherings of more than 200 persons    https://web.archive.org/save/https://mhss.gov.na/covid-19-regulations-documents","namibia","restrictions on gatherings between 101-1000 people"
"Niger","NER",20201130,"C4: Restrictions on gatherings",0,NA,"There is no known restriction to the number of people allowed to gather in Niger. ","niger","no restrictions"
"Nigeria","NGA",20201124,"C4: Restrictions on gatherings",3,"National","Public spaces and services  Gatherings of over 50 people outside of work places are prohibited. Places of worship are permitted to hold services, subject to limitations set by state authorities.    Visits to public institutions, including government buildings, have been limited.  Source: http://web.archive.org/web/20201205151815/https://www.gov.uk/foreign-travel-advice/nigeria/coronavirus","nigeria","restrictions on gatherings between 11-100 people"
"Nicaragua","NIC",20201129,"C4: Restrictions on gatherings",0,NA,"No policy change.    https://web.archive.org/web/20201205093541/https://www.gov.uk/foreign-travel-advice/nicaragua/coronavirus","nicaragua","no restrictions"
"Netherlands","NLD",20201122,"C4: Restrictions on gatherings",4,"National","""A maximum of 3 guests are permitted in private residences in both indoor and outdoor areas per day. This is in addition to the members of the household.  Guests should also be asked whether they have any symptoms and if they do, should not be received.  Guests should maintain 1.5-meter distance from each other.""  https://web.archive.org/web/*/https://nl.usembassy.gov/covid-19-information-3/  https://web.archive.org/web/20201130214530/https://www.rijksoverheid.nl/onderwerpen/coronavirus-covid-19/vraag-en-antwoord/persconferentie-coronavirus-17-november-in-eenvoudige-taal","netherlands","restrictions on gatherings of <= 10 people"
"Norway","NOR",20201127,"C4: Restrictions on gatherings",3,"National","Nochange","norway","restrictions on gatherings between 11-100 people"
"Nepal","NPL",20201122,"C4: Restrictions on gatherings",3,"National","Old one - The Nepal government has, as a precautionary measures, restricted public gatherings of more than 25 people at one place, it said. In line with this decision, people will not be allowed to gather in large numbers at public venues.    https://web.archive.org/web/20201022085359if_/https://www.deccanherald.com/international/coronavirus-nepal-restricts-mass-gathering-closes-down-public-places-815086.html","nepal","restrictions on gatherings between 11-100 people"
"New Zealand","NZL",20201119,"C4: Restrictions on gatherings",0,NA,"No policy change    As of 30 November, all of New Zealand remains at Alert Level 1.  There is no limit on the number of people who can attend a social gathering or event or enter a public facility.    https://web.archive.org/web/20201129202418/https://covid19.govt.nz/everyday-life/gatherings-and-events/","new zealand","no restrictions"
"Oman","OMN",20201117,"C4: Restrictions on gatherings",4,"National","No new changes reported between 17th Nov and 30th Nov  Link - https://web.archive.org/web/20201124060648/https://www.omanobserver.om/category/coronavirus/  https://web.archive.org/web/20201130162123/https://gulfnews.com/world/gulf/oman","oman","restrictions on gatherings of <= 10 people"
"Pakistan","PAK",20201120,"C4: Restrictions on gatherings",4,"Regional","Targeted lockdowns across the country are preventing public events or gatherings.  The local government in Pakistan Administered Kashmir, aka Azaad Kashmir, imposed a strict 15-day lockdown starting on Nov 20 2020. As per the Geo New article: ""Public gatherings, including weddings, have been banned.""  Similarly, in ""Khyber Pakhtunkhwa: All major public gathering have been banned. Legal action will be taken in case of violations.""   Such reporting suggests that public events in targeted/specific regions within the country have be halted/banned. source: https://web.archive.org/web/20201129201909/https://www.geo.tv/latest/320263-what-are-the-covid-19-restrictions-in-pakistan    In general, the Pakistan Government issued guidance on public gatherings such as weddings for crowd sizes as small as 25 people. Broadly such guidance suggests that ""No indoor gatherings are permitted, and only outdoor wedding events are allowed, in which number of the guests must not exceed 300 individuals with mandatory arrangements for seating  of each individual at-least 6 feet apart. event timing should be restricted to 2 hours with closure evening timing at 10 PM"" Source: https://covid.gov.pk/new_guidelines/28November2020_20201127_Additional_Guidelines_for_Marriage_Events_Ceremonies_during_COVID_19_4505.pdf    Additionally, the guidelines provide clear space restrictions for specific crowd sizes. E.g. for a gathering of upto 25 people, there should be at least 900 sq feet of space; for crowds of upto 100 people a minimum of 3600 sq ft. is required.    While the guidance document is date Nov 27th 2020, it also states that ""These guidelines will be implemented from 20th November 2020 onwards in urban centers (Karachi, Lahore, Islamabad, Rawalpindi, Multan, Hyderabad, Gilgit,  Muzaffarabad, Mirpur, Peshawar, Quetta, Gujranwala, Gujrat, Faisalabad, Bahawalpur & Swat)"". ","pakistan","restrictions on gatherings of <= 10 people"
"Panama","PAN",20201119,"C4: Restrictions on gatherings",4,"National","No change, family seven or fewer  https://web.archive.org/web/20201130142049/https://pa.usembassy.gov/covid-19-information/","panama","restrictions on gatherings of <= 10 people"
"Peru","PER",20201117,"C4: Restrictions on gatherings",3,"National","The gathering limit will remain at 15 persons until November 30, 2020.   /web/20201130213708/https://opm.gov.jm/news/extension-of-measures-under-the-disaster-risk-management-act/","peru","restrictions on gatherings between 11-100 people"
"Philippines","PHL",20201130,"C4: Restrictions on gatherings",4,"Regional","No policy changes. ","philippines","restrictions on gatherings of <= 10 people"
"Papua New Guinea","PNG",20201110,"C4: Restrictions on gatherings",3,"National","Policy remains same where more than 50 persons are not allowed","papua new guinea","restrictions on gatherings between 11-100 people"
"Poland","POL",20201103,"C4: Restrictions on gatherings",4,"National","A maximum of 5 people. Participants are required to cover their nose and mouth and keep 1.5 m away from other people. Moreover, the distance between assemblies must not be less than 100 m.    It is forbidden to organize meetings and events of any kind - with the exception of events and meetings organized at home in which up to 20 people participate.  https://web.archive.org/web/20201104172405/https://www.gov.pl/web/koronawirus/aktualne-zasady-i-ograniczenia","poland","restrictions on gatherings of <= 10 people"
"Puerto Rico","PRI",20201201,"C4: Restrictions on gatherings",2,"National","No policy change. Crowding is banned (enforced by police) but no guidelines can be found on exact numbers.  https://web.archive.org/web/20201206022456/https://www.discoverpuertorico.com/info/travel-guidelines","puerto rico","restrictions on gatherings between 101-1000 people"
"Portugal","PRT",20201124,"C4: Restrictions on gatherings",4,"National","Previous coding seems wrong. Should be changed to 4G.  - All public gatherings of over 5 people are prohibited, including in commercial spaces, and cafes.  - A maximum of 6 people per group in restaurants are allowed, unless from the same household.    Link:   Link: https://web.archive.org/web/20201205203200/https://pt.usembassy.gov/covid-19-information/","portugal","restrictions on gatherings of <= 10 people"
"Paraguay","PRY",20201116,"C4: Restrictions on gatherings",3,"National","From Monday 16th, the maximum number of attendees at a social gathering increases (from 30 in public and private venues) to 100 people.   Exceptions: For events for children, only 50 can attend (so long as the event has been organised by an official event organiser); wakes may be carried out for those who died from non-Covid causes, with a maximum of 12 people (who I understand should be close family members) in attendance; Group sports can take place with a maximum of 7 people in a team (who are themselves from the same environment - a workplace, family, etc.), in specifically authorised locations with the correct infrastructure to comply with  protocol. No tournaments are allowed.    Source: https://web.archive.org/web/20201116213817/https://www.mspbs.gov.py/portal/22133/nuevas-medidas-que-regiran-desde-el-lunes.html","paraguay","restrictions on gatherings between 11-100 people"
"Palestine","PSE",20201207,"C4: Restrictions on gatherings",3,"Regional","""The Prime Minister added that prayer will take place in homes starting on Thursday for a period of 7 days, for all times and in all governorates .""    ""The Prime Minister reiterated the prohibition of weddings, mourning houses and all forms of crowd in all regions, regardless of any classification mentioned, whether in areas (A, B, and C), ""    Source: https://web.archive.org/web/20201207231757/http://www.palgov.ps/article/3779/%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D9%8A%D9%82%D8%B1%D8%B1-%D8%A5%D8%BA%D9%84%D8%A7%D9%82-%D8%A3%D8%B1%D8%A8%D8%B9-%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A7%D8%AA-%D9%84%D9%85%D8%AF%D8%A9-%D8%A3%D8%B3%D8%A8%D9%88%D8%B9-%D9%84%D9%83%D8%B3%D8%B1-%D8%B3%D9%84%D8%B3%D9%84%D8%A9-%D8%AA%D9%81%D8%B4%D9%8A-%D8%A7%D9%84%D9%88%D8%A8%D8%A7%D8%A1","palestine","restrictions on gatherings between 11-100 people"
"Qatar","QAT",20201124,"C4: Restrictions on gatherings",3,"National","  • Keep 1.5 meters minimum distance between people (9m2 of space per person).  • Maintain a maximum of 15 people in doors and 30 people outdoors.  • No physical contact is allowed including handshakes, hugging or kissing.  https://web.archive.org/web/20201208001332/https://covid19.moph.gov.qa/EN/Documents/PDFs/ENG%20PHASE%20IV.pdf","qatar","restrictions on gatherings between 11-100 people"
"Romania","ROU",20201206,"C4: Restrictions on gatherings",4,"National","According to the Decision 52/5.11.2020 of The National Emergency Committee, the meetings on public holidays, anniversaries, public and/or private parties in closed and/or open spaces are prohibited.  Link: https://web.archive.org/web/20201120195835/https://s.iw.ro/gateway/g/ZmlsZVNvdXJjZT1odHRwJTNBJTJGJTJG/c3RvcmFnZTA2dHJhbnNjb2Rlci5yY3Mt/cmRzLnJvJTJGc3RvcmFnZSUyRjIwMjAl/MkYxMSUyRjA2JTJGMTI0ODQ3NV8xMjQ4/NDc1X0hvdGFyYXJlLUNOU1UtNTItZGlu/LTA1XzExXzIwMjAtdjE5LTEucGRmJmhh/c2g9NjkxN2E0NDIwOTQ4MGQ1NjJiYzMxZmNjYjczZjY2NjI=.pdf ","romania","restrictions on gatherings of <= 10 people"
"Russia","RUS",20201204,"C4: Restrictions on gatherings",3,"Regional","No change in policy, for example:  In the City of St. Petersburg, from 4 December, the requirements for any events of more than 50 people will be tightened both indoors and outdoors.    https://web.archive.org/web/20201205210845/https://www.gov.spb.ru/press/governor/202461/","russia","restrictions on gatherings between 11-100 people"
"Rwanda","RWA",20201117,"C4: Restrictions on gatherings",3,"National","No policy Update  https://web.archive.org/web/20201124080233/https://www.primature.gov.rw/index.php?id=2&no_cache=1&tx_drblob_pi1%5BdownloadUid%5D=826","rwanda","restrictions on gatherings between 11-100 people"
"Saudi Arabia","SAU",20201127,"C4: Restrictions on gatherings",3,"National","Most commercial services and activities are currently available, though crowd size is limited to no more than 50. Grocery stores remain well stocked, and restaurants, malls, shops, and private entities are open, though some may only offer limited services, https://archive.vn/zWhTk#selection-2855.0-2858.0","saudi arabia","restrictions on gatherings between 11-100 people"
"Sudan","SDN",20201125,"C4: Restrictions on gatherings",0,NA,"No change.  The Higher Committee for Public Health Emergencies also announced that the state of health emergency continues and reminded the community of the importance of observing health measures necessary to limit the transmission and spread of the epidemic.  Source: http://web.archive.org/web/20201207153107/https://sd.usembassy.gov/covid-19-information/","sudan","no restrictions"
"Senegal","SEN",20201103,"C4: Restrictions on gatherings",2,"National","Note: the Government of Senegal has authorised the reopening of some cultural spaces accommodating up to 500 people. See https://web.archive.org/web/20201115194018/https://sn.usembassy.gov/covid-19-information/","senegal","restrictions on gatherings between 101-1000 people"
"Singapore","SGP",20201124,"C4: Restrictions on gatherings",2,"National","Old - On Sept. 7, organizers opened up applications for planners seeking permission to hold gatherings of up to 250 people beginning Oct. 1.    source:  https://web.archive.org/web/20201207183005/https://www.northstarmeetingsgroup.com/coronavirus-countries-cities-reopening-COVID-19-new-cases","singapore","restrictions on gatherings between 101-1000 people"
"Solomon Islands","SLB",20201115,"C4: Restrictions on gatherings",0,NA,"No change  All public gatherings are discouraged but large meetings, church gatherings and sporting events can be held subject to Ministry of Health approval and the observation of Covid-19 safety measures.    https://web.archive.org/web/20201129194927/https://www.rnz.co.nz/international/pacific-news/428243/early-childhood-centres-closed-under-new-solomons-covid-restrictions","solomon islands","no restrictions"
"Sierra Leone","SLE",20201103,"C4: Restrictions on gatherings",3,"National","Update on time length allowed for religious activities.  Published 3 November, 2020  ""This is to inform that with immediate effect, religious activities in churches, mosques and temples, can now be  conducted for a maximum period of 180 minutes (two and half hours)."" (was 90 minutes previously)    https://web.archive.org/web/20201103145931/http://dhse.gov.sl/wp-content/uploads/2020/11/Public-Notice-for-Places-of-Worship-Final.pdf","sierra leone","restrictions on gatherings between 11-100 people"
"El Salvador","SLV",20201124,"C4: Restrictions on gatherings",1,"National","Large gatherings are discouraged.    https://web.archive.org/web/20201101030612/https://www.gov.uk/foreign-travel-advice/el-salvador/coronavirus","el salvador","restrictions on gatherings > 1000 people"
"San Marino","SMR",20201130,"C4: Restrictions on gatherings",4,"National","no change in policy","san marino","restrictions on gatherings of <= 10 people"
"Somalia","SOM",20201129,"C4: Restrictions on gatherings",4,"National","No policy change identified following a review of previously used sources and a recent web search.","somalia","restrictions on gatherings of <= 10 people"
"Serbia","SRB",20201125,"C4: Restrictions on gatherings",4,"National","No policy changes.    https://web.archive.org/web/20201125022744/https://www.srbija.gov.rs/vest/en/163819/government-passes-new-anti-coronavirus-measures.php    https://web.archive.org/web/20201125021304/https://rs.usembassy.gov/serbia-covid-19-information/","serbia","restrictions on gatherings of <= 10 people"
"South Sudan","SSD",20201201,"C4: Restrictions on gatherings",3,"National","""public gatherings for funerals are limited to a maximum of 50 people.""    https://web.archive.org/web/20201209213934/https://www.gov.uk/foreign-travel-advice/south-sudan/coronavirus","south sudan","restrictions on gatherings between 11-100 people"
"Suriname","SUR",20201122,"C4: Restrictions on gatherings",3,"National","Gatherings are limited to thirty people. Funerals and religious services may be held with larger groups, as long as there is no more than one person per 5 square meters.  Source: http://web.archive.org/web/20201127104810/https://sr.usembassy.gov/covid-19-information/","suriname","restrictions on gatherings between 11-100 people"
"Slovakia","SVK",20201201,"C4: Restrictions on gatherings",0,NA,"Per the above update on mass gatherings over 6 people, detail found in 27.4:    https://web.archive.org/web/20201205234812/https://www.uvzsr.sk/docs/info/ut/ciastka_17_2020.pdf","slovakia","no restrictions"
"Slovenia","SVN",20201105,"C4: Restrictions on gatherings",4,"National","No new restrictions / changes    - Movement of people on the entire territory of the Republic of Slovenia is temporarily prohibited between 22:00 and 6:00  - A temporary ban on gathering is being imposed throughout the Republic of Slovenia.  - Restriction of movement between municipalities - Movement between municipalities is prohibited with certain exceptions for which adequate proof must be submitted  - Mandatory use of face masks    Link 1 - https://web.archive.org/web/20201116221949/https://www.gov.si/en/news/  Link 2 - https://web.archive.org/web/20201116222013/https://www.gov.si/en/topics/coronavirus-disease-covid-19/measures-to-contain-the-spread-of-covid-19-infections/","slovenia","restrictions on gatherings of <= 10 people"
"Sweden","SWE",20201201,"C4: Restrictions on gatherings",0,NA,"There is a ban on public gatherings of over 8 people. However, the restrictions for gatherings are part of the Public Order Act and explicitly only for *public* gatherings (as cited in the C3 notes), not *private* gatherings under the definition of C4. There is no policy for private gatherings for 2 reasons. First, the rationale of the Swedish government is that it is better to issue recommendations and call on people to follow these and be responsible voluntarily, rather than impose them through legislation. With respect to gatherings, most Swedish regions have recommendations in place which ask everyone to refrain from close contact with people they don't live with and non-essential visits to indoor environments like shops, gyms, and museums, all of which are not covered under the Public Order Act. Prime Minister Stefan Löfven has said that ""it's not possible to legislate common sense"" but has also made clear that the rules for gathering under the Public Order Act should also set a ""norm"" for private gatherings, urging people to cancel dinners, parties and trips to gyms or libraries, but these kinds of gatherings are not covered by legislation. A second reason is that the Swedish constitution in its current form does not allow for limits on the number of people who meet privately.     See eg: https://web.archive.org/web/20201130183955/https://www.thelocal.se/20201116/breaking-sweden-introduces-limit-of-eight-coronavirus","sweden","no restrictions"
"Eswatini","SWZ",20201124,"C4: Restrictions on gatherings",0,NA,"Vehicles and religious services should be at a limit of 50% capacity, but there is no numerical limit on the size of the gathering    /web/20201206224023/https://sz.usembassy.gov/covid-19-information/    ","eswatini","no restrictions"
"Seychelles","SYC",20201116,"C4: Restrictions on gatherings",1,"National","I'm not certain that this specifies 1G - there is no hard restriction, they just recommend against gatherings. So it's grey, but no policy has changed","seychelles","restrictions on gatherings > 1000 people"
