"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Indonesia","IDN",20201109,"C8: International travel controls",3,NA,"Details on regulations from Directorate General of Immigration (""Information on immigration regulations during the Covid-19 Pandemic"").    ""The Government of the Republic of Indonesia temporarily prohibits foreigners from entering/transiting the Indonesian Territory.    Who can enter Indonesia?    Indonesian citizens.  Holders of lawful and valid Visa and/or Residence Permits will be allowed to enter Indonesia at designated immigration border controls referring to the health protocol.  Such Visa or Residence Permits consist of:  Official visa  Diplomatic visa  Visit visa  Temporary Stay Visa  Official Residence Permit  Diplomatic Residence Permit  Temporary Stay Permit  Permanent Stay Permit  Crew members arriving by their own transports.  Asia-Pacific Economic Cooperation (APEC) Business Travel Card holder (ABTC)  Traditional Border Crossing pass/card holder will be allowed to enter Indonesia.    Transport operators must ensure every passenger providing a valid declaration of Polymerase Chain Reaction (PCR) with a negative result.""    ""The granting of free visit visas ( BVK ) and visit visas on arrival ( VOA ) is temporarily suspended until the COVID-19 pandemic is declared to have ended by the ministry or agency implementing the handling of COVID-19.""    http://archive.today/2020.11.09-174520/https://www.imigrasi.go.id/covid19/detail/1b645389/border-closures-and-exceptions   ","indonesia","ban arrivals from some regions"
"India","IND",20201121,"C8: International travel controls",3,NA,"No change to previous policy.     Currently, India shares bi-lateral travel arrangements with around 22 countries, including the United Kingdom, Afghanistan, Bangladesh, Bahrain, Canada, Bhutan, France, Kenya, Iraq, Germany, Japan, the Netherlands, Maldives, Qatar, Oman, United Arab Emirates, and the United States. Travel from countries not within these agreements is banned.   https://web.archive.org/web/20201130210451/https://timesofindia.indiatimes.com/travel/travel-news/india-ethiopia-air-bubble-arrangement-to-start-indias-travel-bubble-includes-22-countries-now/as79283700.cms  International arrivals must submit a negative PCR test or go to mandatory state-sponsored quarantine. Along with a temperature check upon arrival. https://web.archive.org/web/20201130210135/https://www.mohfw.gov.in/pdf/05112020Guidelinesforinternationalarrivals.pdf","india","ban arrivals from some regions"
"Ireland","IRL",20201124,"C8: International travel controls",2,NA,"Arrivals are asked to self-quarantine for 14 days upon arrival (in line with EU-wide traffic light system). No ban on arrivals.  https://web.archive.org/web/20201206024447/https://ie.usembassy.gov/covid-19-information/  ","ireland","quarantine arrivals from some/ all regions"
"Iran","IRN",20201203,"C8: International travel controls",3,NA,"No changes cases continue to increase  http://archive.today/2020.10.26-201833/https://www.gov.uk/foreign-travel-advice/iran/coronavirus","iran","ban arrivals from some regions"
"Iraq","IRQ",20201124,"C8: International travel controls",1,NA,"No change:  https://web.archive.org/web/20201207205146/https://iq.usembassy.gov/covid-19-information/","iraq","screening arrivals"
"Iceland","ISL",20201130,"C8: International travel controls",3,NA,"No policy change","iceland","ban arrivals from some regions"
"Israel","ISR",20201124,"C8: International travel controls",3,NA,"No change in policy found.","israel","ban arrivals from some regions"
"Italy","ITA",20201126,"C8: International travel controls",3,NA,"no change","italy","ban arrivals from some regions"
"Jamaica","JAM",20201110,"C8: International travel controls",2,NA,"Category 4: Non-residents visiting Jamaica for other purposes including tourists not staying within the “resilient corridor”  The pre-testing requirement described above is applicable to persons in this category if they are residents of locations designated as high risk by the Jamaican health authorities. Persons who are not required to pre-test may be required to be tested at the airport or other designated facility, if assessed by the health authorities as high-risk based on health screening and risk assessment on arrival. For persons required to be tested for COVID-19, the test will be a PCR test and a sample will be taken by oropharyngeal and nasopharyngeal swabbing. They will then await their test results under quarantine at their hotel/intended address.    Whether or not persons are required to be tested, they will be required to remain in quarantine at home for 14 days from their date of entry to Jamaica. If persons are required to be tested and their test is negative, they will be required to remain in quarantine at home for 14 days from their date of entry to Jamaica. If the test is positive, they will be isolated either at home or in a government facility as determined by the health authorities.    https://archive.vn/k2Iy9  ","jamaica","quarantine arrivals from some/ all regions"
"Jordan","JOR",20201124,"C8: International travel controls",2,NA,"No updates  https://web.archive.org/web/20201208002726/https://jo.usembassy.gov/covid-19-information/","jordan","quarantine arrivals from some/ all regions"
"Japan","JPN",20201124,"C8: International travel controls",3,NA,"""Travel for tourism and most other short-term purposes is still not permitted, and there is no indication that this will change in the short term.""    https://web.archive.org/web/20201130180156/https://jp.usembassy.gov/u-s-citizen-services/covid-19-information/","japan","ban arrivals from some regions"
"Kazakhstan","KAZ",20201204,"C8: International travel controls",3,NA,"From 10 December, Kazakhstan will reduce the number of flights from Turkey due to COVID-19.  Link: https://archive.vn/FXbsB","kazakhstan","ban arrivals from some regions"
"Kenya","KEN",20201201,"C8: International travel controls",1,NA,"No change.  Incoming passengers must present a negative PCR COVID-19 taken within 96 hours of arrival upon entry. They are also screened for temperatures above 37.5 degrees Celsius and persistent coughs, difficulty breathing and other flu-like symptoms. Anyone not satisfying these requirements must isolate for 14 days.  Source: https://web.archive.org/web/20201207144926/https://www.gov.uk/foreign-travel-advice/kenya/coronavirus","kenya","screening arrivals"
"Kyrgyzstan","KGZ",20201129,"C8: International travel controls",3,NA,"No changes found since last announcements.","kyrgyzstan","ban arrivals from some regions"
"Cambodia","KHM",20201130,"C8: International travel controls",2,NA,"https://web.archive.org/web/20201204232420/https://kh.usembassy.gov/covid-19-information/","cambodia","quarantine arrivals from some/ all regions"
"South Korea","KOR",20201205,"C8: International travel controls",3,NA,"Current travel restrictions include the visa-free and visa-waiver programs that remain suspended with countries that have banned entry for South Korean citizens.     A 14-day self-quarantine requirement remains in place for all international travelers, regardless of testing outcomes. Moreover, the government is limiting visas and flight capacity for passengers from Bangladesh, Kazakhstan, Kyrgyzstan, Pakistan, the Philippines, and Uzbekistan.     https://archive.vn/pNnW0","south korea","ban arrivals from some regions"
"Kuwait","KWT",20201201,"C8: International travel controls",2,NA,"No change:  https://web.archive.org/web/20201207202816/https://kw.usembassy.gov/covid-19-information/","kuwait","quarantine arrivals from some/ all regions"
"Laos","LAO",20201130,"C8: International travel controls",4,NA,"All land border crossings and international flights to/from Laos remain closed with the exception of sporadic international flights (often to Seoul, South Korea) and weekly UN humanitarian flights (Kuala Lumpur, Malaysia). Domestic flights continue.  http://web.archive.org/web/20201129203136/https://la.usembassy.gov/covid-19-information/","laos","ban on all regions/total border closure"
"Lebanon","LBN",20201130,"C8: International travel controls",2,NA,"No policy change found.  ","lebanon","quarantine arrivals from some/ all regions"
"Liberia","LBR",20201201,"C8: International travel controls",1,NA,"On December 1, 2020, the Ministry of Health announced protocols for arriving passengers at Roberts International Airport, including that all non-exempt incoming travelers will be tested for COVID-19 upon arrival.  See https://lr.usembassy.gov/covid-19-information/ [web archive unavailable, accessed 7th December, website last updated 3rd December]","liberia","screening arrivals"
"Libya","LBY",20201116,"C8: International travel controls",3,NA,"The GNA resumed flights at Mitiga International Airport (MJI) beginning Aug. 9. Select commercial flights have been operating between Istanbul and MJI since the reopening of the airport in early August.   Travelers began to cross between Tunisia and Libya again on Saturday after a seven-month border closure due to novel coronavirus restrictions was lifted.    https://web.archive.org/web/20201201053604/https://english.alarabiya.net/en/coronavirus/2020/11/14/Coronavirus-Tunisia-Libya-border-reopens-after-seven-months; https://web.archive.org/web/20201201053526/https://www.worldaware.com/warning-alert-authorities-libya-maintaining-varied-levels-covid-19-related-restrictions","libya","ban arrivals from some regions"
"Sri Lanka","LKA",20201102,"C8: International travel controls",2,NA,"As per the US Embassy in Sri Lanka: https://web.archive.org/web/20201115220421/https://lk.usembassy.gov/covid-19-information/    Quarantine Information:  All arriving passengers are required to undergo a mandatory 14-day quarantine followed by an at-home 14-day self-isolation.   COVID-19 Testing:    Visitors are required to show a negative PCR test, taken within 72 hours, prior to boarding a flight to Sri Lanka.  Upon arrival in Sri Lanka another PCR test will be done.  A third test will be required prior to release from quarantine.   ","sri lanka","quarantine arrivals from some/ all regions"
"Lesotho","LSO",20201001,"C8: International travel controls",2,NA,"on the 1st October the border partially opened for Business travellers, students, residents with permits to live and work outside Lesotho, the critically ill and people with special travel needs. If you’re entering Lesotho, you must provide evidence of a negative PCR COVID-19 test, taken within 72 hours of travel, and will be required to self isolate at your permanent or temporary place of residence for 14 days on arrival:  https://web.archive.org/web/20201130204353/https://www.gov.uk/foreign-travel-advice/lesotho","lesotho","quarantine arrivals from some/ all regions"
"Lithuania","LTU",20201107,"C8: International travel controls",2,NA,"""Foreigners arriving from the non-EEA and non-EU countries as well as arriving from the affected countries must self-isolate:    10 days from the date of arrival to the Republic of Lithuania if laboratory test for COVID-19 disease (coronavirus infection) is not performed or until a negative laboratory test for COVID-19 disease (coronavirus infection) is obtained if such a test is performed in the Republic of Lithuania. If a negative laboratory test is obtained, such persons shall no longer be isolated.""    https://web.archive.org/web/20201125095546/https://nvsc.lrv.lt/en/procedures-to-be-followed-upon-return-arrival-from-abroad-trebovaniia-pri-pribytii-iz-za-rubezha/entry-requirements-trebovaniia-po-pribytii/entry-requirements-en","lithuania","quarantine arrivals from some/ all regions"
"Luxembourg","LUX",20201124,"C8: International travel controls",3,NA,"Third-country nationals may no longer enter the territory of the Grand Duchy until 31 December 2020 (inclusive). Exempt of this rule are persons (see FAQ) and nationals from the following third-countries:    Australia,  China, Hong Kong and Macao (subject to reciprocity at European Union level),  Japan,  New Zealand,  Ruanda,  Singapore,  South Korea,  Thailand and  Uruguay.  Please note that for some of these exceptions, an obligation to present a negative test before entering Luxembourg applies.    https://web.archive.org/web/20201130204945/https://covid19.public.lu/en/travellers/visiting-luxembourg.html","luxembourg","ban arrivals from some regions"
"Latvia","LVA",20201126,"C8: International travel controls",2,NA,"It is allowed to enter Latvia, provided that the guidelines developed by the Centre for Disease Prevention and Control (SPKC) are being followed. When arriving from countries with a 14-day cumulative number of COVID-19 cases that is higher than 50 per 100,000 inhabitants, self-isolation must be observed for 10 days.  10-day self-isolation must be observed when entering Latvia from the countries listed in the “National COVID-19 morbidity rates” section of the SPKC website.  If a person is arriving from a “safe” country by transiting through an “unsafe country”, the person must observe self-isolation; in order to avoid self-isolation, a different return route must be chosen.  Self-isolation means staying in the place of self-isolation without exposing other persons to the risk of infection and without making direct contact with others (not receiving guests, not visiting anyone, not going to work or public places where many people may be present, except for going to the shop or getting to the place of residence or of self-isolation immediately after arriving in Latvia, using a mouth and nose covering).  https://web.archive.org/web/20201207042737/https://covid19.gov.lv/en/covid-19-frequently-asked-questions-and-answers","latvia","quarantine arrivals from some/ all regions"
"Macao","MAC",20201117,"C8: International travel controls",3,NA,"""The Macao government has announced that all travellers arriving in Macao, who are not residents of Macao, Hong Kong, Taiwan or mainland China, will be denied entry.    Residents of Hong Kong, Taiwan or mainland China who have travelled overseas in the 14 days prior to their arrival will also be denied entry.    All air passengers, including Macao residents, must obtain a certificate confirming that they have tested negative for coronavirus within the last 7 days before they are allowed to board their flight to Macao. All air passengers will also have their temperature checked before boarding flights, and will be refused boarding if they have a fever.""   https://web.archive.org/web/20201124135016/https://www.gov.uk/foreign-travel-advice/macao/entry-requirements","macao","ban arrivals from some regions"
"Morocco","MAR",20201122,"C8: International travel controls",3,NA,"Air travel to and from Morocco remains restricted to specific categories of travelers - citizens and residents of Morocco, as well as foreign nationals of visa-exempt countries (which includes U.S. citizens); a negative COVID-19 PCR test is also required. See https://web.archive.org/web/20201129160809/https://ma.usembassy.gov/25161/","morocco","ban arrivals from some regions"
"Monaco","MCO",20200511,"C8: International travel controls",3,NA,"In phase 2 reopening, the international travel policy remains the same.    http://web.archive.org/web/20201208140324/https://en.gouv.mc/Policy-Practice/Coronavirus-Covid-2019/Actualites/Lifting-the-lockdown-in-the-Principality-step-by-step      ","monaco","ban arrivals from some regions"
"Moldova","MDA",20201130,"C8: International travel controls",3,NA,"Effective September 1, foreigners coming from “red zone” countries are not permitted into Moldova unless they meet an exception.    https://web.archive.org/web/20201205214717/https://md.usembassy.gov/u-s-citizen-services/covid-19-information/","moldova","ban arrivals from some regions"
"Madagascar","MDG",20201129,"C8: International travel controls",3,NA,"No change.   Are commercial flights operating? Yes, but limited  https://web.archive.org/web/20201206220739/https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/  Is public transportation operating? Yes","madagascar","ban arrivals from some regions"
"Mexico","MEX",20201009,"C8: International travel controls",1,NA,"Policy still implemented; partial closing extended throughout October  http://web.archive.org/web/20200927195013/https://mx.usembassy.gov/u-s-citizen-services/covid-19-information/","mexico","screening arrivals"
"Mali","MLI",20201110,"C8: International travel controls",2,NA,"Enhanced screening and COVID-19 test requirement. See: https://web.archive.org/web/20201123085557/https://ml.usembassy.gov/covid-19-information/","mali","quarantine arrivals from some/ all regions"
"Myanmar","MMR",20201201,"C8: International travel controls",4,NA,"No change","myanmar","ban on all regions/total border closure"
"Mongolia","MNG",20201112,"C8: International travel controls",4,NA,"The border crossings and ports of entry at Altanbulag and Selenge close completely.  https://archive.vn/gQ3kv#selection-2287.0-2287.83","mongolia","ban on all regions/total border closure"
"Mozambique","MOZ",20201114,"C8: International travel controls",2,NA,"No policy change","mozambique","quarantine arrivals from some/ all regions"
"Mauritania","MRT",20201122,"C8: International travel controls",1,NA,"No policy change","mauritania","screening arrivals"
"Mauritius","MUS",20201129,"C8: International travel controls",2,NA,"No policy change","mauritius","quarantine arrivals from some/ all regions"
"Malawi","MWI",20201108,"C8: International travel controls",2,NA,"No policy change - no official changes or news were found.","malawi","quarantine arrivals from some/ all regions"
"Malaysia","MYS",20201127,"C8: International travel controls",4,NA,"Malaysia government confirmed on 27 November that Malaysia-Singapore border opening is delayed due to its spike in Covid-19 cases.    https://archive.vn/7JlnQ","malaysia","ban on all regions/total border closure"
"Namibia","NAM",20201209,"C8: International travel controls",2,NA,"Regulation 9 of Government Notice No. 309 of 1 December 2020 (https://web.archive.org/save/https://mhss.gov.na/documents/119527/807189/%237404-Gov+N309.pdf/64204cca-544c-4af0-ad05-e89eb6808254)","namibia","quarantine arrivals from some/ all regions"
"Niger","NER",20201130,"C8: International travel controls",2,NA,"The Embassy of the United States in Niger; A rapid COVID-19 test and a nasal swab may be taken from passengers upon arrival and passengers will be encouraged to self-quarantine at a precise address.  Niger will fine airlines for boarding passengers who do not have a valid certificate of a negative test result taken within the previous 72 hours.  All people testing positive for COVID-19 at the airports will be led automatically to a governmental quarantine site.  Foreign nationals who refuse a COVID-19 test at the airport will be denied entry into Niger and turned back to the airlines.  Nigerien nationals who refuse a test at the airport will have their passports seized by the Nigerien police.    Please see:   https://web.archive.org/web/20201206204921/https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/  ","niger","quarantine arrivals from some/ all regions"
"Nigeria","NGA",20201124,"C8: International travel controls",2,NA,"Testing / Screening on arrival  Prior to departure, passengers travelling to Nigeria must complete the on-line pre-boarding health declaration at the Nigeria International Travel Portal. They must also have tested negative for COVID-19 within 120 hours of their departure to Nigeria, and have uploaded their PCR test certificate to the on-line Travel Portal. Passengers must also carry evidence of the test and result when they travel. Only a COVID-19 PCR test is acceptable to the Nigerian authorities. Also before travel, passengers must book and pay for a repeat PCR test for day 7 of their arrival in Nigeria at the Nigeria International Travel Portal– evidence of the booking will be required on arrival. On arrival all passengers will be screened by Port Health Officials and be required to provide full contact details, including their address in Nigeria.    You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test.    Quarantine requirements  All new arrivals are expected to self-isolate at one location in the city of their arrival until the result of their second PCR test (which should be taken on day 7 of arrival) is known. If the second test is negative individuals can exit self-isolation from day 8 onwards. Anyone that has developed symptoms of coronavirus during their travel or later tests positive will be managed according to national guidelines for COVID-19 treatment. This may require quarantine at a government-monitored treatment centre.  Source: http://web.archive.org/web/20201205151219/https://www.gov.uk/foreign-travel-advice/nigeria/entry-requirements","nigeria","quarantine arrivals from some/ all regions"
"Nicaragua","NIC",20201129,"C8: International travel controls",1,NA,"No policy change.    https://web.archive.org/web/20201205093541/https://www.gov.uk/foreign-travel-advice/nicaragua/coronavirus","nicaragua","screening arrivals"
"Netherlands","NLD",20201122,"C8: International travel controls",3,NA,"""While it is strongly advised not to travel to the Netherlands (except if it's strictly necessary), the borders remain open to certain countries, specifically those in EU and those from ""Australia, Japan, New Zealand, Rwanda, Singapore, South Korea, Thailand, Uruguay, and China (once China starts readmitting European travellers)."" ""If you do travel to the Netherlands, you are strongly advised to self-quarantine for 10 days."" Further, there are exemptions to the entry ban, including those with economic interests, elite athletes and support staff, cultural and creative sectors, professional journalists, and researchers.  https://web.archive.org/web/20201130222612/https://www.government.nl/topics/coronavirus-covid-19/tackling-new-coronavirus-in-the-netherlands/travel-and-holidays/visiting-the-netherlands  https://web.archive.org/web/20201123225841/https://www.government.nl/topics/coronavirus-covid-19/tackling-new-coronavirus-in-the-netherlands/travel-and-holidays/visiting-the-netherlands-exemptions-to-the-entry-ban","netherlands","ban arrivals from some regions"
"Norway","NOR",20201127,"C8: International travel controls",2,NA,"People entering Norway needs to stay at a quarantine hotel. Furthermore, travelers arriving from countries with high infection (red countries) must present a negative Covid-19 test certificate on arrival in Norway.  https://web.archive.org/web/20201202155636/https://www.regjeringen.no/en/topics/koronavirus-covid-19/Questions-and-answers-coronavirus-situation-in-Norway/the-coronavirus-situation-questions-and-answers-aboutentering-norway/id2703365/","norway","quarantine arrivals from some/ all regions"
"Nepal","NPL",20201122,"C8: International travel controls",3,NA,"Limited commercial flight service has resumed.  Except as described above, foreign citizens are currently prohibited entry into Nepal.  Domestic flights have resumed, including full seating capacity. Each flight will operate under strict COVID mitigation measures.    https://web.archive.org/web/20201020230202/https://np.usembassy.gov/covid-19-information-2/","nepal","ban arrivals from some regions"
"New Zealand","NZL",20201119,"C8: International travel controls",4,NA,"No policy change    As of 30 November, the New Zealand borders are closed to almost all travellers.  The travel ban applies to all arrivals into New Zealand whether by air or sea. Only citizens or residents of New Zealand with valid travel conditions may enter New Zealand. Individuals who are not citizens or residents of New Zealand must obtain approval from Immigration New Zealand before travelling to New Zealand.      https://web.archive.org/web/20201129205649/https://covid19.govt.nz/travel-and-the-border/travel-to-new-zealand/","new zealand","ban on all regions/total border closure"
"Oman","OMN",20201117,"C8: International travel controls",2,NA,"No new changes reported between 17th Nov and 30th Nov  Link - https://web.archive.org/web/20201124060648/https://www.omanobserver.om/category/coronavirus/  https://web.archive.org/web/20201130162123/https://gulfnews.com/world/gulf/oman","oman","quarantine arrivals from some/ all regions"
"Pakistan","PAK",20201117,"C8: International travel controls",2,NA,"Symptomatic travelers will be required to take a COVID-19 RT-PCR test and its results submitted to the designated Pakistani authorities within 48 hours of arrival. In cases found positive for COVID-19 based on a test upon arrival, travelers may be required to comply with isolation procedures.  Source: https://web.archive.org/web/20201129214352/https://pk.usembassy.gov/covid-19-information/  ","pakistan","quarantine arrivals from some/ all regions"
"Panama","PAN",20201119,"C8: International travel controls",1,NA,"No change","panama","screening arrivals"
"Peru","PER",20201117,"C8: International travel controls",2,NA,"The current protocols under the Controlled Entry Programme for both residents and visitors will remain in effect until November 30, 2020.  While the requirements for pre-testing and quarantine, etc. remain the same, various operational improvements continue to be implemented to streamline the processing of arriving passengers at our airports.   /web/20201130213708/https://opm.gov.jm/news/extension-of-measures-under-the-disaster-risk-management-act/","peru","quarantine arrivals from some/ all regions"
"Philippines","PHL",20201124,"C8: International travel controls",2,NA,"No policy changes. ","philippines","quarantine arrivals from some/ all regions"
"Papua New Guinea","PNG",20201110,"C8: International travel controls",2,NA,"Policy remains the same where passengers arriving into the country internationally should be quarantined.    Refer to https://web.archive.org/web/20201006131537/https://covid19.info.gov.pg/files/National%20Pandemic%20Measures/Pandemic%20Measures%2005102020/M%202%20Oct%202020.pdf","papua new guinea","quarantine arrivals from some/ all regions"
"Poland","POL",20201010,"C8: International travel controls",3,NA,"Ban for certain countries https://web.archive.org/web/20201019203002/https://www.gov.pl/web/koronawirus/aktualne-zasady-i-ograniczenia","poland","ban arrivals from some regions"
"Puerto Rico","PRI",20201201,"C8: International travel controls",2,NA,"Visitors required to present a negative test.  https://web.archive.org/web/20201206022456/https://www.discoverpuertorico.com/info/travel-guidelines","puerto rico","quarantine arrivals from some/ all regions"
"Portugal","PRT",20201124,"C8: International travel controls",3,NA,"The Government of Portugal currently prohibits non-essential (tourist) travel for U.S. citizens traveling directly to Portugal from the United States. According to Portuguese authorities, only citizens of the European Union/Schengen associated countries, their family members, or foreign nationals legally residing in a Member State of the European Union, and travelers from third-countries specifically authorized may enter Portugal    Link: https://web.archive.org/web/20201205203200/https://pt.usembassy.gov/covid-19-information/  https://web.archive.org/web/20201205204251/https://www.schengenvisainfo.com/eu-list-of-epidemiologically-safe-countries-amid-covid-19/","portugal","ban arrivals from some regions"
"Paraguay","PRY",20201117,"C8: International travel controls",2,NA,"Beginning 17 Nov 2020, international travelers are allowed to arrive. Some quarantine and some do not.     ""For the entry of travellers who are members of MERCOSUR and associated with the country, they must have a COVID-19 PCR test result up to 72 hours before the trip, fill out an epidemiological data sheet without the need for quarantine.    This also applies to foreigners from the rest of the world, with the difference that they will need to present international health insurance. For those who do not meet the requirements, they are required to keep the health quarantine.""    https://web.archive.org/web/20201116213817/https://www.mspbs.gov.py/portal/22133/nuevas-medidas-que-regiran-desde-el-lunes.html","paraguay","quarantine arrivals from some/ all regions"
"Palestine","PSE",20201204,"C8: International travel controls",2,NA,"In Gaza and the West Bank all Palestinian citizens coming back from abroad are placed under a mandatory quarantine in quarantine centres.    All travellers entering Israel, including Israeli nationals, must undergo 14 days of home quarantine.    Source:  https://web.archive.org/web/20201207225533/https://www.map.org.uk/about-map/map-coronavirus-situation-updates","palestine","quarantine arrivals from some/ all regions"
"Qatar","QAT",20201124,"C8: International travel controls",3,NA,"Currently, entry to the State of Qatar is only permitted to Qatari nationals and residents permit holders.  https://web.archive.org/web/20201208005056/https://dohahamadairport.com/covid-19-impact-faqs    As a part of the State of Qatar’s gradual lifting of restrictions, resident permit holders currently outside the State of Qatar will be allowed entry into the country by submitting return requests for permits and entry will be subject to strict travel policies and a series of priorities.      Effective Sunday, 29 November 2020, residents who are currently in the State of Qatar and wish to travel and return will automatically receive an exceptional entry permit upon departure. ","qatar","ban arrivals from some regions"
"Romania","ROU",20201206,"C8: International travel controls",3,NA,"On 20th of November, The National Committee for Emergency Situations published Decision no.55 regarding the approval of the list of countries/areas of epidemiological risk for which the quarantine measure is instituted on persons arriving in Romania from them. Also, there are screening procedures implemented at the “Henri Coanda” International Airport (three thermal scanners and a joint action plan with the Border Police and the Public Health Directorate to collect questionnaires from travelers arriving in the country and to distribute information about local measures and restrictions).  According to the Decision 56/4.12.2020 of The National Committee for Emergency Situations, the list of countries of high epidemiological risk for which the quarantine measure is instituted on the persons arriving in Romania from them was approved.  Link: https://archive.fo/pUara and https://archive.fo/s1GX6 ","romania","ban arrivals from some regions"
"Russia","RUS",20201201,"C8: International travel controls",3,NA,"No change in policy:  The Government of the Russian Federation banned the entry of foreign nationals, including American citizens, with a few exceptions.    https://web.archive.org/web/20201205204726/https://ru.usembassy.gov/covid-19-information/  https://web.archive.org/web/20201205205720/https://www.themoscowtimes.com/2020/12/05/coronavirus-in-russia-the-latest-news-dec-5-a69117","russia","ban arrivals from some regions"
"Rwanda","RWA",20201125,"C8: International travel controls",1,NA,"All travellers arriving in Rwanda must be tested negative for COVID-19 within 72 hours of departure, complete the passenger locator form, and upload the COVID-19 test certificate.    Land borders will remain closed, except for goods and cargo, as well as returning Rwandan citizens and legal residents.    https://web.archive.org/save/https://www.gov.rw/koronavirusi/  ","rwanda","screening arrivals"
"Saudi Arabia","SAU",20201030,"C8: International travel controls",3,NA,"Somewhat conflicting information, e.g. the US embassy’s website states that the Government has lifted the suspension of entry into the Kingdom, and those authorized to enter may do so via international flight or land border. Travelers arriving from outside Saudi Arabia, including Saudi citizens and residents, will be required to quarantine in their homes for two days  https://archive.vn/TgWZq#selection-2967.0-2967.148    However, the Germany embassy’s website states that international flights continue to be banned and the borders are closed for passenger traffic.    https://archive.vn/N90ID#selection-1103.0-1103.147    According to a news article about pilgrimage to Saudi Arabia, since the first week of November, visitors from specific countries are allowed to enter the kingdom.    https://archive.vn/q6J8Q#selection-909.360-909.426    The UK governments foreign travel advice for Saudi Arabia states that Saudia and British Airways are now advertising a limited number of flights between the UK and Saudi Arabia on their websites.    https://archive.vn/eFKRX#selection-619.0-619.126    The Saudia airlines website clarifies that:  •	GCC citizens and holders of valid visa (exit/entry, business, residence {Iqamah}, and visit) allowed to travel from and into The Kingdom of Saudi Arabia.    •	Non-Saudi nationals holding Tourist Visas are not allowed to enter the Kingdom during COVID-19 pandemic.    •	Above points not applied on countries that suspended from traveling to/from the kingdom in order to prevent the spread of COVID-19 as decided by the competent committee as a result of COVID-19 outbreak in these countries. Travel suspended (except guests with official government invitations and health practitioners from India and their families) to and from India, Brazil and Argentina, including any person who has been in these countries in the last (14) days prior to their arrival to the Kingdom.    (due to a looping cookie wall, the archived page does not work unfortunately - https://archive.vn/QXvdg)     Overall, coding as 3 seems a more accurate reflection of the situation than coding as 2.  ","saudi arabia","ban arrivals from some regions"
"Sudan","SDN",20201125,"C8: International travel controls",1,NA,"No change.  All arrivals must present a negative PCR test taken within 96 hours of arrival.  Source: http://web.archive.org/web/20201207153107/https://sd.usembassy.gov/covid-19-information/","sudan","screening arrivals"
"Senegal","SEN",20201130,"C8: International travel controls",3,NA,"The Government of Senegal has also implemented restrictions that impact entry into Senegal for certain foreign nationals. Those travelers permitted to enter must present a negative COVID-19 test upon arrival. See https://web.archive.org/web/20201207231721/https://sn.usembassy.gov/covid-19-information/","senegal","ban arrivals from some regions"
"Singapore","SGP",20201124,"C8: International travel controls",3,NA,"Update from Ministry of Health on quarantine rules for travellers from Malaysia and Japan (which are included in the Safe Travel Lanes scheme).    ""The Multi-Ministry Taskforce has been closely monitoring the global COVID-19 situation and will be tightening border measures given the resurgence of cases in Malaysia and Japan. All travellers entering Singapore from 22 November 2020, 2359 hours, who have a travel history in the past 14 days to Malaysia will now be required to serve a 14-day Stay-Home Notice (SHN) at dedicated SHN facilities. All travellers [except Singapore Citizens (SCs) and Permanent Residents (PRs)] entering Singapore from 27 November 2020, 2359 hours, who have a travel history in the past 14 days to Malaysia will be required to take a COVID-19 polymerase chain reaction (PCR) test within 72 hours before departure.""    http://archive.today/2020.11.23-163758/https://www.moh.gov.sg/news-highlights/details/updated-border-measures-for-travellers-from-malaysia-and-japan ","singapore","ban arrivals from some regions"
"Solomon Islands","SLB",20201115,"C8: International travel controls",4,NA,"No change  Foreign nationals are banned from entering the Solomon Islands. Honiara International Airport remains closed to scheduled international flights until at least 10 January, 2021.    https://web.archive.org/web/20201129191741/https://www.worldnomads.com/travel-safety/oceania/solomon-islands/latest-travel-alerts-and-warnings","solomon islands","ban on all regions/total border closure"
"Sierra Leone","SLE",20201116,"C8: International travel controls",1,NA,"Enhanced screening measures and COVID-19 test requirement. See: https://web.archive.org/web/20201123092033/https://lr.usembassy.gov/covid-19-information/","sierra leone","screening arrivals"
"El Salvador","SLV",20201201,"C8: International travel controls",1,NA,"No updates here as per the US Embassy in El Salvador    https://web.archive.org/web/20201116072312/https://sv.usembassy.gov/covid-19-information/","el salvador","screening arrivals"
"San Marino","SMR",20201130,"C8: International travel controls",2,NA,"no change in policy","san marino","quarantine arrivals from some/ all regions"
"Somalia","SOM",20201129,"C8: International travel controls",1,NA,"No policy change identified following a review of previously used sources and a recent web search.","somalia","screening arrivals"
"Serbia","SRB",20201125,"C8: International travel controls",1,NA,"No policy changes.    https://web.archive.org/web/20201125022744/https://www.srbija.gov.rs/vest/en/163819/government-passes-new-anti-coronavirus-measures.php    https://web.archive.org/web/20201125021304/https://rs.usembassy.gov/serbia-covid-19-information/","serbia","screening arrivals"
"South Sudan","SSD",20201123,"C8: International travel controls",2,NA,"https://web.archive.org/web/20201130233702/https://www.gov.uk/foreign-travel-advice/south-sudan/coronavirus  ","south sudan","quarantine arrivals from some/ all regions"
